neuron_id,session_name,group_name,experiment_name,group,neuron_type,width_basepost,mean_firing_rate,cv_isi_burst
1199,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,,2.010791246355399,0.6693343691234281
1200,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,,1.0853453974243443,0.9357492978598692
1201,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SR,69.39785118460478,1.371193285834171,0.8038206350053267
1202,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,53.37291644962389,2.9114441448003894,0.7368905283880562
1203,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,65.20873032941594,0.5477351152982467,1.0505701499760065
1204,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SR,71.79783940394884,6.182839865654531,0.731051573939264
1205,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SR,60.72333969890988,4.268312456893271,0.7273400891844625
1208,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,54.19370281111605,0.926890977387974,0.9005982047248741
1209,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,59.44321302837574,1.0035015046582063,0.8770578858572531
1210,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,55.46897650676752,1.4337008204042003,0.8769432855186612
1211,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SR,74.16951506806251,4.65431314041569,0.8162582822338726
1212,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,58.01568311026389,0.7190160265676421,1.002602752381378
1213,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SR,64.44236364890568,,
1214,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SR,70.80699249910543,2.4292100757365027,0.8673242401802745
1215,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,51.44112361944056,3.2699369499517914,0.8158932803746013
1216,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SIR,68.66443100733403,0.8859008873773885,0.956561860102174
1218,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SR,,,
1219,hamilton_17,citalopram_discontinuation,HAMILTON,DIS,SR,64.56657033529493,3.566017550713523,0.3606930430827386
1220,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SIR,44.20760729638397,2.0762095057086345,1.004390538106501
1221,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SR,53.21516346335403,4.941180699395129,0.5342345577839123
1222,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SR,49.4396649306307,3.801519921544408,0.6161597073028487
1223,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,FF,,14.427142538878352,0.5268391020329324
1224,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SR,74.84792887653578,0.9781492329679764,0.817951639775453
1226,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SIR,53.244527575668656,2.426553154260838,0.7241933317401767
1227,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,FF,68.47170882599798,9.69053339613077,0.7487507764625377
1229,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,FF,62.48302573061872,9.994422441783634,0.6523139142361681
1230,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,FF,26.09771481819618,11.35487757564576,0.7375452684147854
1231,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SR,72.46958504040913,7.698606875720682,0.7535098264179181
1232,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SR,66.34713289671672,4.724073359115828,0.7745922734344823
1233,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SR,70.22120740165403,2.662706320964709,0.5745454321775355
1234,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SR,66.1221540404992,5.122129980335056,0.7197337604646522
1235,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SR,76.59824070364601,2.227181524882945,0.8750635006789756
1236,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SIR,29.949170157262145,3.974491782961476,0.5952623347178643
1237,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SR,81.31622578582306,6.21265453272663,0.8203447859051373
1238,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,FF,41.79589286723993,9.645634477983858,0.5568701736904664
1239,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SIR,,1.235436926383284,0.9931337222416184
1240,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SIR,38.922125306121245,2.8373253716275366,0.9203608746247224
1241,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SR,71.7960131735235,5.54370571353673,0.8274060635619473
1242,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SR,87.40638863819774,2.4698787374656037,0.643779341964059
