neuron_id,response_first_half,response_second_half,neuron_type,group
1547,inhibited,non responder,SR,SAL
1548,non responder,activated,SIR,SAL
1550,non responder,activated,FF,SAL
1551,activated,activated,FF,SAL
1554,non responder,inhibited,SR,CIT
1556,non responder,non responder,SR,CIT
1557,non responder,non responder,SR,CIT
1558,non responder,non responder,SIR,CIT
1559,non responder,non responder,SR,CIT
1560,non responder,non responder,SR,CIT
1562,inhibited,inhibited,SR,CIT
1563,non responder,non responder,SIR,CIT
1564,inhibited,inhibited,SR,CIT
1565,non responder,non responder,SR,CIT
1567,activated,activated,SIR,CIT
1568,non responder,non responder,SIR,CIT
1569,inhibited,inhibited,SIR,CIT
1570,inhibited,inhibited,SR,CIT
1572,activated,activated,SR,CIT
1573,non responder,non responder,SR,CIT
1574,activated,activated,SR,CIT
1575,activated,non responder,SR,CIT
1577,non responder,non responder,SR,CIT
1578,activated,activated,SIR,CIT
1579,activated,activated,SIR,CIT
1580,activated,activated,SIR,CIT
1581,non responder,inhibited,SR,CIT
1582,inhibited,inhibited,SR,CIT
1584,non responder,non responder,SIR,CIT
1585,non responder,non responder,SR,CIT
1586,activated,activated,SIR,CIT
1587,non responder,non responder,SIR,CIT
1588,inhibited,inhibited,SR,CIT
1589,activated,activated,SIR,CIT
1590,non responder,non responder,SR,CIT
1592,non responder,non responder,SIR,CIT
1593,non responder,non responder,SR,CIT
1594,activated,activated,SIR,CIT
1595,activated,activated,SIR,CIT
1596,activated,non responder,SR,CIT
1598,non responder,non responder,SR,CIT
1600,non responder,inhibited,SIR,CIT
1602,non responder,non responder,SR,CIT
1603,non responder,non responder,SR,CIT
1604,non responder,non responder,SIR,CIT
1605,activated,activated,SIR,CIT
1606,activated,activated,SIR,CIT
1609,non responder,non responder,SR,CIT
1610,inhibited,inhibited,SIR,CIT
1611,inhibited,non responder,SR,CIT
2005,inhibited,inhibited,SR,DIS
2009,inhibited,non responder,SR,DIS
2010,inhibited,inhibited,SR,DIS
2014,non responder,non responder,SR,DIS
2016,activated,activated,FF,DIS
2017,activated,activated,SIR,DIS
2018,inhibited,inhibited,SIR,DIS
2020,non responder,non responder,FF,DIS
2022,inhibited,inhibited,FF,DIS
2023,activated,activated,SIR,DIS
2026,activated,activated,SIR,DIS
2031,inhibited,inhibited,SIR,DIS
2034,activated,activated,SIR,DIS
2035,non responder,non responder,SIR,DIS
2036,activated,non responder,SIR,DIS
2037,inhibited,inhibited,SR,DIS
2038,inhibited,inhibited,SR,DIS
2041,inhibited,inhibited,SIR,DIS
2047,non responder,non responder,SR,DIS
2048,inhibited,inhibited,SR,DIS
2049,inhibited,inhibited,FF,DIS
2050,inhibited,inhibited,SR,DIS
2052,non responder,non responder,SR,DIS
2055,inhibited,inhibited,SR,DIS
2057,non responder,non responder,SR,DIS
2058,activated,activated,SR,DIS
2059,inhibited,inhibited,SR,DIS
2060,inhibited,inhibited,SR,DIS
2061,inhibited,inhibited,SR,DIS
2062,inhibited,inhibited,SIR,DIS
2065,inhibited,inhibited,SR,DIS
2066,inhibited,non responder,SR,DIS
2067,non responder,non responder,SIR,DIS
2069,non responder,non responder,SIR,DIS
2072,non responder,activated,SIR,DIS
2073,non responder,non responder,SIR,DIS
2074,inhibited,inhibited,SR,DIS
2075,inhibited,inhibited,SR,DIS
2076,inhibited,inhibited,SR,DIS
2077,inhibited,non responder,FF,DIS
2078,activated,activated,SR,DIS
2079,inhibited,activated,SR,DIS
2081,activated,activated,FF,DIS
2082,activated,activated,SR,DIS
2083,activated,activated,SIR,DIS
2084,activated,activated,SIR,DIS
2087,non responder,non responder,SIR,DIS
2091,activated,activated,SIR,DIS
2099,activated,activated,SIR,DIS
2101,non responder,non responder,SIR,DIS
2102,activated,activated,SR,DIS
2103,non responder,non responder,SIR,DIS
2104,activated,activated,SIR,DIS
2107,non responder,non responder,SR,DIS
2108,activated,activated,SIR,DIS
2111,activated,activated,SIR,DIS
2112,activated,activated,SIR,DIS
2120,activated,activated,SIR,DIS
2125,inhibited,non responder,SIR,DIS
2126,non responder,activated,SR,DIS
2127,activated,activated,SIR,DIS
2128,activated,activated,SIR,DIS
2130,activated,activated,SR,DIS
2135,inhibited,inhibited,SR,DIS
2136,non responder,non responder,SIR,DIS
2137,inhibited,non responder,SR,DIS
2138,non responder,non responder,SIR,DIS
2139,non responder,non responder,SIR,DIS
2144,inhibited,inhibited,SIR,DIS
2147,inhibited,non responder,SR,DIS
2152,non responder,non responder,SIR,DIS
2155,non responder,non responder,SIR,DIS
2162,inhibited,inhibited,SR,DIS
2165,activated,non responder,SIR,DIS
2166,non responder,non responder,SIR,DIS
2173,non responder,non responder,SIR,DIS
2174,non responder,non responder,SIR,DIS
2176,inhibited,inhibited,SR,DIS
2177,inhibited,inhibited,SIR,DIS
2178,activated,activated,SIR,DIS
2181,non responder,non responder,SIR,DIS
2183,non responder,non responder,FF,DIS
2184,non responder,non responder,SIR,DIS
2185,inhibited,inhibited,SIR,DIS
2186,inhibited,inhibited,SR,DIS
2187,non responder,non responder,SIR,DIS
2188,inhibited,inhibited,SIR,DIS
2189,non responder,non responder,SIR,DIS
2191,non responder,non responder,SR,DIS
2192,inhibited,inhibited,SIR,DIS
2193,non responder,non responder,SIR,DIS
2198,non responder,non responder,SIR,DIS
2200,inhibited,inhibited,SIR,DIS
2202,inhibited,inhibited,SR,DIS
2208,inhibited,inhibited,SIR,DIS
2211,inhibited,inhibited,SIR,DIS
2212,inhibited,non responder,SR,DIS
2213,inhibited,inhibited,SR,DIS
2214,inhibited,inhibited,SR,DIS
2217,inhibited,inhibited,SIR,DIS
2220,inhibited,non responder,SR,DIS
2222,inhibited,inhibited,SR,DIS
2225,inhibited,inhibited,SR,DIS
2233,inhibited,inhibited,SIR,DIS
2235,non responder,non responder,SIR,DIS
2236,activated,non responder,SIR,DIS
2241,non responder,non responder,SIR,DIS
2242,non responder,activated,SIR,DIS
2243,non responder,non responder,SR,DIS
2244,activated,activated,SIR,DIS
2246,non responder,non responder,SR,DIS
2247,activated,non responder,SIR,DIS
2248,activated,activated,SIR,DIS
2249,non responder,non responder,SR,DIS
2250,activated,activated,SIR,DIS
2251,non responder,activated,SIR,DIS
2252,non responder,non responder,SR,DIS
2260,non responder,non responder,FF,DIS
2266,non responder,non responder,SIR,DIS
2270,activated,activated,SIR,DIS
2271,activated,activated,SIR,DIS
2278,activated,activated,SIR,DIS
2279,activated,activated,SR,DIS
2280,activated,non responder,SR,DIS
2281,non responder,non responder,SIR,DIS
2282,activated,non responder,SR,DIS
2283,inhibited,inhibited,SR,DIS
2284,non responder,activated,SIR,DIS
2285,inhibited,inhibited,SR,DIS
2287,inhibited,inhibited,SR,DIS
