neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,sig,response_second_window
1102,169.0,31.0,0.5767346125400418,0.8983917562488026,0.32165714370876086,2402.0,5.944816001134209,False,non responder
1105,169.0,31.0,-0.5169126077368843,-1.8190258654543123,-1.3021132577174281,4525.5,2.5726956418367213e-08,True,inhibited
1106,169.0,31.0,1.9907792703903093,5.996073142876778,4.005293872486469,739.0,3.05362862129128e-08,True,activated
1107,169.0,31.0,-0.6153389626826271,-0.6599283872928805,-0.04458942461025339,2728.5,6.350505729639714,False,non responder
1111,169.0,31.0,-0.18764264143698467,-0.7510750647274497,-0.5634324232904651,3133.0,1.42409066639103,False,non responder
1114,169.0,31.0,1.0067782422627145,0.9502756606629258,-0.056502581599788715,2096.5,1.4973802860212477,False,non responder
1116,169.0,31.0,1.16098455481437,0.3474450428393592,-0.8135395119750108,2681.5,7.028957931506814,False,non responder
1119,169.0,31.0,0.342211086756221,-0.03795351180108012,-0.3801645985573011,2806.0,5.944816001134209,False,non responder
1121,169.0,31.0,0.7467222260164232,0.347264682965157,-0.39945754305126624,2446.0,6.829039122733714,False,non responder
1123,169.0,31.0,1.2698349882327404,0.9092122852468002,-0.36062270298594024,2406.5,5.944816001134209,False,non responder
1124,169.0,31.0,0.2947689688297334,0.9208327740372793,0.6260638052075458,1827.0,0.2040232321020964,False,non responder
1127,169.0,31.0,0.11213032669028014,1.144155562372841,1.0320252356825608,1526.0,0.010326291481891724,True,activated
1129,169.0,31.0,,,,,,False,non responder
1131,169.0,31.0,2.1409761750930456,0.5939862395540962,-1.5469899355389494,2771.0,7.239219445120807,False,non responder
1136,169.0,31.0,0.13454629165448453,0.1356126663026896,0.001066374648205054,2640.0,7.691957110699791,False,non responder
1137,169.0,31.0,0.5182493741910552,0.08512693988687774,-0.43312243430417746,2760.0,7.384933885725853,False,non responder
1138,169.0,31.0,0.6352746413905209,-0.296225437776634,-0.9315000791671549,3359.5,0.3184997573828856,False,non responder
1139,169.0,31.0,2.110047998183187,0.09484841999188279,-2.015199578191304,2563.5,7.028957931506814,False,non responder
1140,169.0,31.0,0.8064176356233664,0.47753817350679634,-0.3288794621165701,2745.5,6.350505729639714,False,non responder
1143,169.0,31.0,0.41123292855132865,-0.1507556722888818,-0.5619886008402104,2712.5,3.1428447488109255,False,non responder
1144,169.0,31.0,1.5733601384013332,2.286927215325554,0.713567076924221,1656.5,0.04476378577617784,True,activated
1145,169.0,31.0,0.6350359152571827,0.33012665742022756,-0.30490925783695516,2872.5,4.078289255003047,False,non responder
