neuron_id,oscillation,mean_angle,var,p,session_name,group_name,experiment_name,group,neuron_type,width_basepost,mean_firing_rate,cv_isi_burst
1595,delta,2.62,0.96,0.24,hamilton_20,citalopram_continuation,HAMILTON,CIT,SIR,57.49525324242859,0.8130363500942128,0.9694333264367168
1595,theta,2.71,0.91,0.05,hamilton_20,citalopram_continuation,HAMILTON,CIT,SIR,57.49525324242859,0.8130363500942128,0.9694333264367168
1596,delta,-1.77,0.99,0.95,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,59.53682076192726,0.5544742025101503,0.6030424992314714
1596,theta,2.8,0.88,0.0,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,59.53682076192726,0.5544742025101503,0.6030424992314714
1597,delta,-1.93,0.9,0.79,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,38.65132743114663,,0.2925841619743303
1597,theta,1.39,0.52,0.17,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,38.65132743114663,,0.2925841619743303
1598,delta,-0.25,0.97,0.4,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,51.917566740300174,0.7404978336871872,0.3527946912952452
1598,theta,-2.98,0.92,0.18,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,51.917566740300174,0.7404978336871872,0.3527946912952452
1599,delta,1.14,0.96,0.4,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,,0.6506781475998269,0.5570011764553541
1599,theta,3.04,0.89,0.29,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,,0.6506781475998269,0.5570011764553541
1600,delta,-1.24,0.89,0.18,hamilton_20,citalopram_continuation,HAMILTON,CIT,SIR,65.33316207288163,1.7964756414234555,0.9984908757973764
1600,theta,-2.31,0.89,0.45,hamilton_20,citalopram_continuation,HAMILTON,CIT,SIR,65.33316207288163,1.7964756414234555,0.9984908757973764
1602,delta,0.55,0.98,0.07,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,60.405582922327824,5.0539640403029225,0.8251214291286273
1602,theta,2.83,0.94,0.0,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,60.405582922327824,5.0539640403029225,0.8251214291286273
1603,delta,-0.18,0.98,0.42,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,70.18755718957442,2.943794932763872,0.4263990849843705
1603,theta,2.91,0.98,0.76,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,70.18755718957442,2.943794932763872,0.4263990849843705
