neuron_id,cv2_isi,is_buster,cv2_isi_burst,median_burst_interval,mean_firing_rate,mean_firing_rate_ifr,fraction_bursts,max_firing_rate,cv_firing_rate
1507,0.6545467878359422,False,0.6226069642093175,0.006049999999959255,1.9872222222222222,1.9644988122766656,0.013419066256639642,101,0.13862490951183545
1509,0.6523344610434054,False,0.5529216315216511,0.009500000000002728,2.8538888888888887,4.569536788516096,0.03873856336383103,216,0.2764154106784043
1510,0.9547802341740999,True,0.696544459346047,0.010000000000104592,11.716666666666667,11.993631374817934,0.15229966808914178,419,0.04819573077740839
1511,0.7241828332806014,False,0.5885615493259836,0.010366666666641322,5.113888888888889,4.7281087684641125,0.06355241716458447,275,0.12945180681245155
1512,0.507732450023017,False,0.4386922463241929,0.00975000000005366,2.8027777777777776,4.70832000945125,0.024578790882061448,186,0.1922558923781218
1513,0.3156122409184086,False,0.31036792820685266,0.008249999999975444,2.5433333333333334,2.9447354859764374,0.0017474879860200961,120,0.16186965821429955
1514,0.6508822571556744,False,0.6390866808219569,0.009733333333315386,2.776666666666667,2.694082973673758,0.005002000800320128,110,0.10334363289534068
1515,0.6736432224303508,False,0.648343847896366,0.008966666666765377,2.32,1.9922311821577805,0.011254789272030651,161,0.2178023925428034
1516,0.7879324925248716,False,0.6879629894642423,0.00741666666663221,1.3455555555555556,1.1217264631471642,0.07101568951279934,257,0.8772540100947177
1517,0.9517658789570457,False,0.8872449602423641,0.012066666666669335,1.853888888888889,1.6181697399215866,0.05244231345519928,200,0.4318935858850895
1519,0.6206024680854867,False,0.60045946772355,0.010416666666742458,3.1333333333333333,3.6761030299780235,0.009574468085106383,372,0.49753718514792594
1521,0.8084426079662222,False,0.8067306804093575,0.007266666666680521,0.7877777777777778,0.9744880756234058,0.0007052186177715092,197,0.6023144813806998
1522,0.91879358969307,False,0.9095167464015207,0.009333333333415794,0.24555555555555555,0.840788119385382,0.006787330316742082,90,0.9964635970165422
1523,0.5960435075337334,False,0.5621020642815932,0.01046666666661622,4.614444444444445,4.541635087345452,0.017818444497953285,299,0.2424956426751008
1524,1.1870183687573805,False,1.0643413114891234,0.00293333333343071,0.07777777777777778,0.5653911828857124,0.07857142857142857,21,0.37745375571848655
1525,0.8715198166882253,True,0.7380057627709559,0.00916666666665833,2.2872222222222223,2.0382699512778424,0.10080155452999758,394,0.5853939993932558
1526,0.49944469155998894,False,0.4832207044501222,0.01016666666657784,10.036666666666667,10.71282727809004,0.008247536809476364,403,0.10667951134486038
1527,0.7935446569970799,False,0.751934830852576,0.004533333333341716,0.2111111111111111,1.2026456158904666,0.02368421052631579,133,0.7990372723683015
1528,1.1959391807891144,False,1.1017240764516874,0.004533333333341716,0.017777777777777778,,0.09375,7,0.6730258222804436
1529,0.6306585081957978,False,0.6306585081957978,,0.31,1.3811089942906487,0.0,64,0.4204633188215903
1530,0.5160587035278558,False,0.5160587035278558,,0.8038888888888889,1.9432320549784705,0.0,90,0.6054900210095906
1531,0.5851484040500895,False,0.5779089804490195,0.008366666666688616,1.7033333333333334,1.6564631114617763,0.0029354207436399216,125,0.20317818288737374
1532,0.19763722867280678,False,0.19763722867280678,,4.368888888888889,4.33205649576717,0.0,162,0.034948509688110384
1533,0.17278874284304252,False,0.16235195449345424,0.017433333333315204,19.142777777777777,18.262078897207548,0.020808543982354818,1005,0.1028605426725774
1534,0.7108590201866904,True,0.3824707786387104,0.009733333333315386,32.720555555555556,32.72075034967332,0.6690323785591796,2641,0.2694900703302039
1535,0.779571947936117,False,0.7314941682128968,0.012383333333332303,3.8405555555555555,3.8000048355440197,0.04484304932735426,385,0.3705152640562975
1536,0.9171994491428302,True,0.7342069678107832,0.00953333333336559,7.387222222222222,7.621574379536063,0.11182973603068361,271,0.07620751122318327
1537,0.615583399883891,False,0.5984780959034167,0.008666666666670153,2.7944444444444443,2.5352546349078806,0.009542743538767396,372,0.5311357578176028
1538,0.9443105232762515,False,0.8305693594838196,0.010033333333353767,2.5716666666666668,2.4014884793925813,0.09094836897818104,284,0.35121895547276294
1540,0.2738868336657279,False,0.2738868336657279,,3.3255555555555554,3.306501388249699,0.0,120,0.031058416118598317
1541,0.4947861215176625,False,0.43696911250520715,0.010733333333519113,4.275,4.256932278439794,0.019883040935672516,176,0.08659151993492448
1542,1.0396061048181426,False,0.9808039723150139,0.011166666666632352,1.1316666666666666,0.9247026321985622,0.04221894943544428,92,0.3275105969349655
