neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,sig,fs_fast_response
2037,184.0,16.0,0.16,-2.7,-2.86,2768.5,0.0,True,inhibited
2038,184.0,16.0,0.15,-0.67,-0.82,2192.0,0.0,True,inhibited
2041,184.0,16.0,0.31,-0.67,-0.98,2308.5,0.0,True,inhibited
2047,184.0,16.0,0.17,0.16,-0.01,1540.0,0.72,False,non responder
2048,184.0,16.0,1.12,-2.67,-3.78,2852.0,0.0,True,inhibited
2049,184.0,16.0,0.01,-5.71,-5.72,2917.5,0.0,True,inhibited
2050,184.0,16.0,1.06,-0.61,-1.67,2253.0,0.0,True,inhibited
2052,184.0,16.0,0.23,-0.14,-0.37,1733.0,0.26,False,non responder
2055,184.0,16.0,0.11,-1.76,-1.88,2529.0,0.0,True,inhibited
2057,184.0,16.0,0.02,-0.14,-0.16,1574.5,0.67,False,non responder
2058,184.0,16.0,-0.18,1.4,1.58,821.0,0.0,True,activated
2059,184.0,16.0,0.16,-4.29,-4.44,2892.0,0.0,True,inhibited
2060,184.0,16.0,0.16,-2.3,-2.46,2901.0,0.0,True,inhibited
2061,184.0,16.0,0.12,-3.38,-3.51,2901.5,0.0,True,inhibited
2062,184.0,16.0,0.18,-1.16,-1.34,2414.0,0.0,True,inhibited
2065,184.0,16.0,-0.58,-2.93,-2.35,2708.0,0.0,True,inhibited
2066,184.0,16.0,0.62,-0.4,-1.02,2060.5,0.01,True,inhibited
2067,184.0,16.0,0.29,-0.21,-0.5,1896.5,0.06,False,non responder
2069,184.0,16.0,0.35,0.16,-0.2,1670.5,0.3,False,non responder
2072,184.0,16.0,0.13,0.59,0.47,1188.0,0.09,False,non responder
2073,184.0,16.0,0.64,1.13,0.49,1289.0,0.43,False,non responder
2074,184.0,16.0,0.43,-3.12,-3.55,2927.0,0.0,True,inhibited
2075,184.0,16.0,0.1,-4.27,-4.36,2897.0,0.0,True,inhibited
2076,184.0,16.0,-0.04,-3.76,-3.72,2859.5,0.0,True,inhibited
2077,184.0,16.0,-0.21,-0.8,-0.59,1882.5,0.07,False,non responder
2078,184.0,16.0,0.18,3.79,3.6,609.5,0.0,True,activated
2079,184.0,16.0,-0.75,1.15,1.9,1127.5,0.14,False,non responder
2081,184.0,16.0,-0.43,9.98,10.41,41.5,0.0,True,activated
2082,184.0,16.0,0.26,1.92,1.66,647.0,0.0,True,activated
2083,184.0,16.0,0.04,1.95,1.91,437.0,0.0,True,activated
2084,184.0,16.0,1.03,45.85,44.82,3.0,0.0,True,activated
2087,184.0,16.0,0.44,0.69,0.25,1385.0,0.7,False,non responder
2091,184.0,16.0,-0.13,8.72,8.85,153.5,0.0,True,activated
2099,184.0,16.0,0.1,18.69,18.6,195.5,0.0,True,activated
2101,184.0,16.0,0.77,1.1,0.33,1254.5,0.35,False,non responder
2102,184.0,16.0,0.32,2.95,2.63,274.0,0.0,True,activated
2103,184.0,16.0,0.74,0.96,0.22,1342.5,0.58,False,non responder
2104,184.0,16.0,3.76,19.25,15.49,38.0,0.0,True,activated
2107,184.0,16.0,0.31,0.87,0.56,1212.0,0.26,False,non responder
2108,184.0,16.0,0.24,1.8,1.56,543.5,0.0,True,activated
2111,184.0,16.0,3.19,11.21,8.02,22.0,0.0,True,activated
2112,184.0,16.0,-0.06,1.12,1.18,742.5,0.0,True,activated
2120,184.0,16.0,0.03,7.27,7.23,94.0,0.0,True,activated
2125,184.0,16.0,-0.57,-1.54,-0.97,2118.5,0.0,True,inhibited
2126,184.0,16.0,-1.36,-0.11,1.24,916.0,0.01,True,activated
2127,184.0,16.0,-0.26,1.13,1.38,475.5,0.0,True,activated
2128,184.0,16.0,0.28,3.83,3.55,134.5,0.0,True,activated
2130,184.0,16.0,1.1,5.73,4.63,130.0,0.0,True,activated
2135,184.0,16.0,-0.15,-2.81,-2.66,2910.5,0.0,True,inhibited
2136,184.0,16.0,0.39,0.07,-0.33,1698.0,0.27,False,non responder
2137,184.0,16.0,0.36,-0.38,-0.73,2120.0,0.0,True,inhibited
2138,184.0,16.0,0.34,0.65,0.31,1276.0,0.4,False,non responder
2139,184.0,16.0,0.34,0.53,0.19,1637.0,0.46,False,non responder
2144,184.0,16.0,0.43,-1.5,-1.92,2735.0,0.0,True,inhibited
2147,184.0,16.0,0.77,0.0,-0.77,2019.5,0.02,True,inhibited
2152,184.0,16.0,0.02,-0.45,-0.48,1977.0,0.03,True,inhibited
2155,184.0,16.0,0.09,0.16,0.07,1478.5,0.98,False,non responder
2162,184.0,16.0,0.17,-2.79,-2.95,2888.5,0.0,True,inhibited
2165,184.0,16.0,0.33,0.89,0.55,990.5,0.03,True,activated
2166,184.0,16.0,-0.03,0.36,0.4,1317.0,0.51,False,non responder
2173,184.0,16.0,0.37,0.84,0.46,1263.0,0.35,False,non responder
2174,184.0,16.0,0.18,0.36,0.18,1561.5,0.7,False,non responder
2176,184.0,16.0,-0.29,-2.5,-2.21,2836.0,0.0,True,inhibited
2177,184.0,16.0,0.21,-1.4,-1.61,2487.5,0.0,True,inhibited
2178,184.0,16.0,0.63,3.66,3.03,452.0,0.0,True,activated
2181,184.0,16.0,0.32,0.54,0.22,1221.0,0.26,False,non responder
2183,184.0,16.0,0.12,-0.13,-0.25,1454.5,0.94,False,non responder
2184,184.0,16.0,0.53,0.82,0.29,1399.5,0.74,False,non responder
2185,184.0,16.0,0.4,-1.28,-1.68,2595.5,0.0,True,inhibited
2186,184.0,16.0,0.9,-1.36,-2.26,2560.5,0.0,True,inhibited
2187,184.0,16.0,0.19,-0.0,-0.19,1665.5,0.39,False,non responder
2188,184.0,16.0,0.05,-1.58,-1.63,2560.5,0.0,True,inhibited
2189,184.0,16.0,0.46,-0.04,-0.5,1848.0,0.1,False,non responder
2191,184.0,16.0,0.31,1.43,1.12,1246.5,0.33,False,non responder
2192,184.0,16.0,-0.02,-1.41,-1.39,2188.5,0.0,True,inhibited
2193,184.0,16.0,0.04,-0.07,-0.12,1753.0,0.22,False,non responder
