A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,div_inv,response,session_name,neuron_type
2Shock,3Post,-0.22,-1.19,0.97,0.06,16.8,0.0,0.97,2017,-0.97,0.0,True,-0.97,inhibited,hamilton_25,SIR
2Shock,3Post,0.13,-0.85,0.97,0.04,21.93,0.0,1.27,2018,-0.97,0.0,True,-0.97,inhibited,hamilton_25,SIR
2Shock,3Post,-0.92,-0.6,-0.32,0.05,-6.21,0.0,-0.36,2020,0.32,0.0,True,0.32,activated,hamilton_25,FF
2Shock,3Post,-0.27,-0.27,0.0,0.05,0.06,1.0,0.0,2022,-0.0,1.0,False,-0.0,non responder,hamilton_25,FF
2Shock,3Post,-0.15,-0.35,0.2,0.06,3.36,0.0,0.19,2023,-0.2,0.0,True,-0.2,inhibited,hamilton_25,SIR
2Shock,3Post,-0.01,-0.32,0.31,0.05,6.05,0.0,0.35,2026,-0.31,0.0,True,-0.31,inhibited,hamilton_25,SIR
2Shock,3Post,-1.14,-2.19,1.05,0.05,20.51,0.0,1.18,2031,-1.05,0.0,True,-1.05,inhibited,hamilton_25,SIR
2Shock,3Post,-0.44,-0.36,-0.08,0.05,-1.49,0.3,-0.09,2034,0.08,0.32,False,0.08,non responder,hamilton_25,SIR
2Shock,3Post,-0.61,-0.25,-0.36,0.05,-6.9,0.0,-0.4,2035,0.36,0.0,True,0.36,activated,hamilton_25,SIR
2Shock,3Post,-0.48,-0.15,-0.33,0.06,-5.49,0.0,-0.32,2036,0.33,0.0,True,0.33,activated,hamilton_25,SIR
2Shock,3Post,-0.01,-0.7,0.69,0.06,10.82,0.0,0.62,2037,-0.69,0.0,True,-0.69,inhibited,hamilton_25,SR
2Shock,3Post,0.19,-0.99,1.18,0.06,19.29,0.0,1.11,2038,-1.18,0.0,True,-1.18,inhibited,hamilton_25,SR
2Shock,3Post,0.92,-0.36,1.29,0.05,26.39,0.0,1.52,2041,-1.29,0.0,True,-1.29,inhibited,hamilton_26,SIR
2Shock,3Post,-1.14,-1.18,0.04,0.04,1.15,0.48,0.07,2047,-0.04,0.51,False,-0.04,non responder,hamilton_26,SR
2Shock,3Post,0.06,0.97,-0.91,0.07,-13.98,0.0,-0.81,2048,0.91,0.0,True,0.91,activated,hamilton_26,SR
2Shock,3Post,1.15,0.04,1.11,0.07,17.01,0.0,0.98,2049,-1.11,0.0,True,-1.11,inhibited,hamilton_26,FF
2Shock,3Post,0.66,0.33,0.34,0.05,7.21,0.0,0.42,2050,-0.34,0.0,True,-0.34,inhibited,hamilton_26,SR
2Shock,3Post,0.27,0.1,0.16,0.06,2.8,0.01,0.16,2052,-0.16,0.02,False,-0.16,non responder,hamilton_26,SR
2Shock,3Post,-0.22,-0.1,-0.12,0.05,-2.25,0.06,-0.13,2055,0.12,0.07,False,0.12,non responder,hamilton_26,SR
2Shock,3Post,1.34,1.57,-0.23,0.07,-3.24,0.0,-0.19,2057,0.23,0.0,True,0.23,activated,hamilton_26,SR
2Shock,3Post,0.95,0.34,0.61,0.07,8.43,0.0,0.49,2058,-0.61,0.0,True,-0.61,inhibited,hamilton_26,SR
2Shock,3Post,0.6,0.02,0.58,0.07,8.81,0.0,0.51,2059,-0.58,0.0,True,-0.58,inhibited,hamilton_26,SR
2Shock,3Post,0.48,0.24,0.24,0.1,2.46,0.04,0.14,2060,-0.24,0.04,True,-0.24,inhibited,hamilton_26,SR
2Shock,3Post,-0.2,-0.06,-0.14,0.07,-2.13,0.08,-0.12,2061,0.14,0.09,False,0.14,non responder,hamilton_26,SR
2Shock,3Post,-0.39,-0.6,0.2,0.06,3.48,0.0,0.2,2062,-0.2,0.0,True,-0.2,inhibited,hamilton_26,SIR
2Shock,3Post,0.33,-0.03,0.37,0.05,6.73,0.0,0.39,2065,-0.37,0.0,True,-0.37,inhibited,hamilton_26,SR
2Shock,3Post,0.32,-0.66,0.98,0.07,14.39,0.0,0.83,2066,-0.98,0.0,True,-0.98,inhibited,hamilton_26,SR
2Shock,3Post,0.72,-0.12,0.85,0.06,14.73,0.0,0.85,2067,-0.85,0.0,True,-0.85,inhibited,hamilton_26,SIR
2Shock,3Post,-0.36,-0.46,0.1,0.04,2.55,0.03,0.15,2069,-0.1,0.03,False,-0.1,non responder,hamilton_26,SIR
2Shock,3Post,-0.3,-0.35,0.05,0.04,1.18,0.46,0.07,2072,-0.05,0.49,False,-0.05,non responder,hamilton_26,SIR
2Shock,3Post,1.34,0.59,0.76,0.08,9.47,0.0,0.55,2073,-0.76,0.0,True,-0.76,inhibited,hamilton_26,SIR
2Shock,3Post,0.52,-0.27,0.79,0.07,11.44,0.0,0.66,2074,-0.79,0.0,True,-0.79,inhibited,hamilton_26,SR
2Shock,3Post,0.74,0.32,0.42,0.05,7.88,0.0,0.45,2075,-0.42,0.0,True,-0.42,inhibited,hamilton_26,SR
2Shock,3Post,0.89,0.56,0.34,0.06,5.78,0.0,0.33,2076,-0.34,0.0,True,-0.34,inhibited,hamilton_28,SR
2Shock,3Post,-2.05,-2.75,0.7,0.05,13.99,0.0,0.81,2077,-0.7,0.0,True,-0.7,inhibited,hamilton_28,FF
2Shock,3Post,1.25,1.41,-0.16,0.08,-1.97,0.12,-0.11,2078,0.16,0.13,False,0.16,non responder,hamilton_28,SR
