neuron_id,UMAP-1,UMAP-2
1229,12.085497,6.2315354
1230,10.403201,7.6660233
1231,12.951306,8.251406
1232,9.57592,2.0266397
1233,11.139211,7.8732724
1234,9.516265,2.8150995
1235,9.580693,1.6860671
1236,4.647957,8.476465
1237,10.17988,7.7195015
1238,5.334067,7.6822166
1240,9.492533,1.5454853
1241,10.204953,7.938945
1242,11.461658,6.6852794
1244,8.225484,7.4344544
1245,7.579465,3.748737
1246,9.144778,8.370048
1247,12.00787,8.827599
1249,9.554414,6.9287767
1250,9.388629,5.178321
1255,13.06418,8.798874
1261,7.7182393,4.4417324
1263,9.520681,1.6290895
1264,12.215727,8.927241
1265,10.3370905,7.0037093
1266,9.795668,6.126861
1267,9.481334,1.4415604
1269,9.453632,1.7274722
1270,7.983758,5.3825502
1271,10.507641,5.491598
1272,13.281607,8.757954
1273,9.400035,1.7384763
1274,9.5708475,2.5495079
1276,8.548621,4.7769775
1277,7.4237194,8.080504
1279,6.7617645,7.7144675
1280,6.997381,5.224462
1281,5.5879965,8.847624
1283,8.296392,7.022579
1284,7.464552,5.375383
1285,9.151683,3.715447
1287,12.173907,6.242147
1288,9.742379,5.3489566
1289,10.055477,7.073678
1291,9.32074,8.323379
1292,9.516991,2.4115481
1293,13.305998,7.0924783
1294,10.404544,9.052363
1296,9.799428,5.5686116
1299,10.371711,7.5493426
1301,12.006152,8.646912
1302,11.461674,6.706719
1303,13.535008,7.695824
1305,13.072358,8.777303
1311,10.083976,6.5303745
1312,7.0956764,4.582553
1314,9.818611,8.358257
1315,9.257479,2.1866734
1316,11.888499,6.7751017
1317,9.455246,3.4436164
1318,7.7202907,5.4985986
1319,12.66718,8.21083
1320,9.443374,1.4872516
1321,13.164565,8.177856
1322,13.020996,8.274866
1323,13.424923,8.234842
1325,13.050979,8.930404
1326,13.163292,8.705173
1328,13.05287,8.229931
1329,7.3803525,4.136208
1330,8.774896,8.748959
1331,7.420016,4.9832006
1332,7.3760285,4.379303
1333,12.470321,6.2592626
1334,11.891711,8.650072
1335,10.853012,8.648432
1336,7.4112215,4.337811
1337,7.4157233,3.5359645
