Method,MI
Observed,0.48891837173753727
Observed,0.5386593791874424
Observed,0.5158476935002246
Observed,0.6465519414057709
Observed,0.5079662220615705
Observed,0.5524232853820308
Observed,0.4995129242101014
Observed,0.5233756288497752
Observed,0.5653889717236368
Observed,0.5067090263420824
Observed,0.5166942737830886
Observed,0.5225576558211189
Observed,0.544999815837436
Observed,0.4917286696070609
Observed,0.5187544964081398
Observed,0.5270676925411993
Observed,0.5675738490683979
Observed,0.484845304034355
Observed,0.5497408648066289
Observed,0.521437197680412
Observed,0.5139783610939417
Observed,0.5476121630484989
Observed,0.5094102773769766
Observed,0.4906308884443387
Observed,0.541655792575847
Observed,0.5252522576535309
Observed,0.5319622710528011
Observed,0.5695203423049946
Observed,0.5067373991767166
Observed,0.5902144535685331
Observed,0.565321285966078
Observed,0.5921381376633876
Observed,0.5534005561088066
Observed,0.5835886437548718
Observed,0.5066086548115352
Observed,0.6326610782086934
Observed,0.5659442697238466
Observed,0.5276551584223814
Observed,0.5679194684765827
Observed,0.5853878608266159
Observed,0.576452552474507
Observed,0.5508924578979197
Observed,0.5257025471690276
Observed,0.5704642719603646
Observed,0.5715886317339551
Observed,0.5133080798242353
Observed,0.4462807414899645
Observed,0.5202501624674124
Observed,0.5127885656731856
Observed,0.5566050369699038
Observed,0.5261433934095867
Observed,0.5271712932694697
Observed,0.5216413554355629
Observed,0.5762253103836951
Observed,0.5350224114007499
Observed,0.5363051165559723
Observed,0.5616427481932673
Observed,0.5262141796181448
Observed,0.5418056921220872
Observed,0.5104002870192408
Observed,0.5914302366765489
Observed,0.5381424286527989
Observed,0.5114178694616855
Observed,0.5021633372430279
Observed,0.4988650934443488
Observed,0.5356338130187077
Observed,0.5095550158832213
Observed,0.5391645965745677
Observed,0.4945701751730537
Observed,0.5915671835940898
Observed,0.5609397207815572
Observed,0.540824646089119
Observed,0.49245134988322986
Observed,0.5926951147008694
Observed,0.5200583633886595
Observed,0.5508306053248191
Observed,0.4665800210534111
Observed,0.49757496983430755
Observed,0.49514219677280485
Observed,0.5950854033025437
Observed,0.5571823936729075
Observed,0.5284066097564413
Observed,0.5696103649234877
Observed,0.519569826005197
Observed,0.4877960557036898
Observed,0.5834075085741344
Observed,0.5243208135457496
Observed,0.5026337377464409
Observed,0.5376993778244299
Observed,0.5214960944645621
Observed,0.5287605064250713
Observed,0.6079740443708533
Observed,0.5206319105921572
Observed,0.5237443685998923
Observed,0.4693597222178582
Observed,0.5875737129535624
Observed,0.5076558091703567
Observed,0.5486967277485487
Observed,0.5513427475925714
Observed,0.525074573362196
Observed,0.4517058792021349
Observed,0.5718441042894403
