neuron_id,response_fs_slow,fs_fast_response,response_second_window
2242,inhibited,activated,non responder
2243,non responder,non responder,non responder
2244,non responder,activated,non responder
2246,activated,non responder,non responder
2247,activated,activated,non responder
2248,inhibited,activated,non responder
2249,non responder,non responder,non responder
2250,inhibited,activated,non responder
2251,inhibited,non responder,non responder
2252,inhibited,non responder,non responder
2260,inhibited,non responder,non responder
2266,activated,non responder,non responder
2270,activated,activated,non responder
2271,inhibited,activated,non responder
2278,activated,activated,inhibited
2279,activated,activated,inhibited
2280,activated,activated,non responder
2281,non responder,non responder,non responder
2282,inhibited,activated,non responder
2283,activated,inhibited,non responder
2284,inhibited,activated,non responder
2285,non responder,inhibited,non responder
2287,activated,inhibited,activated
1081,,non responder,non responder
1393,,non responder,non responder
