neuron_id,lag,time,cc,session_name,bin_width,block
1338,0,0.0,-0.028472414035021938,hamilton_23,0.1,pre
1339,0,0.0,0.002468715804054891,hamilton_23,0.1,pre
1341,0,0.0,-0.003958027896959815,hamilton_23,0.1,pre
1342,0,0.0,0.06555398455486926,hamilton_23,0.1,pre
1343,0,0.0,0.05515294737302583,hamilton_23,0.1,pre
1344,0,0.0,0.011299307502352845,hamilton_23,0.1,pre
1346,0,0.0,0.04264032373815167,hamilton_23,0.1,pre
1347,0,0.0,0.036707473985640386,hamilton_23,0.1,pre
1349,0,0.0,0.028737164044478507,hamilton_23,0.1,pre
1350,0,0.0,0.039150439095750465,hamilton_07,0.1,pre
1351,0,0.0,0.011403972942931858,hamilton_07,0.1,pre
1358,0,0.0,0.019237970111320453,hamilton_07,0.1,pre
1361,0,0.0,0.01872622206781122,hamilton_07,0.1,pre
1363,0,0.0,0.020066646137017464,hamilton_07,0.1,pre
1365,0,0.0,0.04934439408005303,hamilton_07,0.1,pre
1366,0,0.0,0.003009444348050823,hamilton_07,0.1,pre
1369,0,0.0,0.04556146435324823,hamilton_07,0.1,pre
1370,0,0.0,0.023754506605404763,hamilton_07,0.1,pre
1372,0,0.0,0.0245243796809141,hamilton_07,0.1,pre
1384,0,0.0,-0.0173770038395558,hamilton_07,0.1,pre
1386,0,0.0,0.08551357924739462,hamilton_07,0.1,pre
1387,0,0.0,0.07408214473274372,hamilton_07,0.1,pre
1390,0,0.0,0.03918844619012695,hamilton_07,0.1,pre
1391,0,0.0,0.01247366536260073,hamilton_07,0.1,pre
1392,0,0.0,-0.0022514276954064385,hamilton_07,0.1,pre
1394,0,0.0,0.0011229168849198324,hamilton_07,0.1,pre
1396,0,0.0,0.07807739170945195,hamilton_07,0.1,pre
1397,0,0.0,0.07069332572254484,hamilton_07,0.1,pre
1398,0,0.0,0.052502176091299264,hamilton_07,0.1,pre
1399,0,0.0,0.03327481970867997,hamilton_07,0.1,pre
1411,0,0.0,0.016823138785385463,hamilton_07,0.1,pre
1413,0,0.0,0.027975141600538735,hamilton_07,0.1,pre
1414,0,0.0,0.08526461728852634,hamilton_08,0.1,pre
1417,0,0.0,0.0686570942162737,hamilton_08,0.1,pre
1419,0,0.0,0.0956908630336658,hamilton_08,0.1,pre
1421,0,0.0,0.04260169369900204,hamilton_08,0.1,pre
1426,0,0.0,0.10814715956704371,hamilton_08,0.1,pre
1430,0,0.0,0.040102604934524305,hamilton_08,0.1,pre
1438,0,0.0,0.054124685088363884,hamilton_08,0.1,pre
1443,0,0.0,0.039259083521226236,hamilton_08,0.1,pre
1445,0,0.0,-0.008810016268607718,hamilton_08,0.1,pre
1447,0,0.0,0.055525303159741586,hamilton_08,0.1,pre
1448,0,0.0,0.0037518478315514627,hamilton_08,0.1,pre
1449,0,0.0,-0.02146937466021277,hamilton_08,0.1,pre
1455,0,0.0,0.09958733005930163,hamilton_08,0.1,pre
1459,0,0.0,0.22841889849436936,hamilton_08,0.1,pre
1461,0,0.0,0.17943784476401162,hamilton_08,0.1,pre
1466,0,0.0,-0.007311380461583449,hamilton_08,0.1,pre
1468,0,0.0,0.02072834185163316,hamilton_08,0.1,pre
1472,0,0.0,0.08874880854574409,hamilton_08,0.1,pre
1473,0,0.0,0.0293658599274103,hamilton_08,0.1,pre
1477,0,0.0,0.08960330140476425,hamilton_08,0.1,pre
1479,0,0.0,0.11527575244258269,hamilton_08,0.1,pre
1482,0,0.0,0.12072012205468606,hamilton_08,0.1,pre
1484,0,0.0,0.06803441784924676,hamilton_08,0.1,pre
1487,0,0.0,0.01643422481776191,hamilton_08,0.1,pre
1488,0,0.0,-0.019885217129086107,hamilton_08,0.1,pre
1492,0,0.0,-0.005186320939258765,hamilton_08,0.1,pre
1494,0,0.0,-0.008962039440922031,hamilton_19,0.1,pre
1495,0,0.0,0.13513067603101578,hamilton_19,0.1,pre
1496,0,0.0,0.13538054246058126,hamilton_19,0.1,pre
1499,0,0.0,0.018021503805708296,hamilton_19,0.1,pre
1502,0,0.0,-0.07563133502764441,hamilton_19,0.1,pre
