neuron_id,neuron_type,score,session_name
1094,SIR,0.6095856421483082,hamilton_02
1095,SIR,0.6537419998930474,hamilton_02
1096,SIR,0.4843591194356419,hamilton_02
1098,SIR,0.5555626887804971,hamilton_02
1099,SIR,0.5322347495646851,hamilton_02
1100,SIR,0.5370657112180418,hamilton_02
1102,SIR,0.8310134733580925,hamilton_02
1103,SIR,0.11991326124769482,hamilton_02
1104,SIR,0.4451573239360326,hamilton_02
1105,SIR,0.09033232925543963,hamilton_02
1106,SIR,0.6056587011661675,hamilton_02
1107,SIR,0.5410116910659613,hamilton_02
1108,SIR,-0.0050304437684008715,hamilton_02
1109,SIR,0.0022630729748203127,hamilton_02
1110,SIR,0.12992467028320306,hamilton_02
1111,SIR,0.3446857622613762,hamilton_02
1088,FF,0.3184598485599919,hamilton_02
1089,FF,-0.0314062969409137,hamilton_02
1093,FF,0.3723232079842065,hamilton_02
1094,FF,0.5900626861046424,hamilton_02
1095,FF,0.8388293411030456,hamilton_02
1096,FF,0.49433784060379826,hamilton_02
1098,FF,0.5972814580263629,hamilton_02
1099,FF,0.5558713171037732,hamilton_02
1100,FF,0.5643038451889227,hamilton_02
1102,FF,0.8325085248385194,hamilton_02
1103,FF,0.1904015613502214,hamilton_02
1104,FF,0.5031229718684631,hamilton_02
1105,FF,0.13429851102803564,hamilton_02
1106,FF,0.7502321721078117,hamilton_02
1107,FF,0.5596204018237296,hamilton_02
1108,FF,-0.0037163638211759496,hamilton_02
1109,FF,-0.1194648004057687,hamilton_02
1110,FF,0.10711369879186332,hamilton_02
1111,FF,0.3764142079520143,hamilton_02
1088,SR,0.15536392605172716,hamilton_02
1089,SR,0.044209184624021104,hamilton_02
1093,SR,0.3613104318602896,hamilton_02
1094,SR,0.4968918788456576,hamilton_02
1095,SR,0.8206990228274821,hamilton_02
1096,SR,0.5030234358215098,hamilton_02
1098,SR,0.49260219562041757,hamilton_02
1099,SR,0.547291411978468,hamilton_02
1100,SR,0.44545858191973986,hamilton_02
1102,SR,0.7241710578582092,hamilton_02
1103,SR,0.09742942616621834,hamilton_02
1104,SR,0.4474899373647401,hamilton_02
1105,SR,0.05316252639312606,hamilton_02
1106,SR,0.7252168435696363,hamilton_02
1107,SR,0.4747739706407314,hamilton_02
1108,SR,-0.003012181126374447,hamilton_02
1109,SR,0.024808508625243374,hamilton_02
1110,SR,0.1044720722616647,hamilton_02
