n_best,neuron_id,score,session_name
2,1077,0.7664567792476202,hamilton_01
3,1077,0.7718677995083635,hamilton_01
4,1077,0.7673054319521346,hamilton_01
5,1077,0.7711848910879883,hamilton_01
6,1077,0.7808771750298902,hamilton_01
7,1077,0.7906463405919842,hamilton_01
8,1077,0.7854579749873969,hamilton_01
9,1077,0.7943854351715547,hamilton_01
10,1077,0.7972212166687646,hamilton_01
11,1077,0.783156859549845,hamilton_01
12,1077,0.7912752487813315,hamilton_01
13,1077,0.8017913246665145,hamilton_01
14,1077,0.8030452922818329,hamilton_01
15,1077,0.7876344539870984,hamilton_01
1,1078,0.05232637639032711,hamilton_01
2,1078,0.050198157270174626,hamilton_01
3,1078,0.04962618650249302,hamilton_01
4,1078,0.05717693901598244,hamilton_01
5,1078,0.04846240675842477,hamilton_01
6,1078,0.06850295060128567,hamilton_01
7,1078,0.05509206533869959,hamilton_01
8,1078,0.0575951078908735,hamilton_01
9,1078,0.05260995011564003,hamilton_01
10,1078,0.043274503995334876,hamilton_01
11,1078,0.05981418573059503,hamilton_01
12,1078,0.055050305420582625,hamilton_01
13,1078,0.07189724106211444,hamilton_01
14,1078,0.0799119613075752,hamilton_01
15,1078,0.0752567420153973,hamilton_01
1,1079,0.2965639055434558,hamilton_01
2,1079,0.38328920002976397,hamilton_01
3,1079,0.4188769019601903,hamilton_01
4,1079,0.4330266520175846,hamilton_01
5,1079,0.45942209938271833,hamilton_01
6,1079,0.4346761232905978,hamilton_01
7,1079,0.46207696153546945,hamilton_01
8,1079,0.4537888742539623,hamilton_01
9,1079,0.4600140956866426,hamilton_01
10,1079,0.4315540235556661,hamilton_01
11,1079,0.4514080701100053,hamilton_01
12,1079,0.4612392474103178,hamilton_01
13,1079,0.4601413623636598,hamilton_01
14,1079,0.4548694582002789,hamilton_01
15,1079,0.44768822384549634,hamilton_01
1,1080,0.7096119565155801,hamilton_01
2,1080,0.7127440696723738,hamilton_01
3,1080,0.7111300800036627,hamilton_01
4,1080,0.7236945448927181,hamilton_01
5,1080,0.7284636521572306,hamilton_01
6,1080,0.7388591811703005,hamilton_01
7,1080,0.7397957132016,hamilton_01
8,1080,0.759435324124107,hamilton_01
9,1080,0.7532739339854151,hamilton_01
10,1080,0.763578552221993,hamilton_01
11,1080,0.7479634397825883,hamilton_01
12,1080,0.7590730659555731,hamilton_01
13,1080,0.7698686279605065,hamilton_01
14,1080,0.7588442648810771,hamilton_01
15,1080,0.755246058532452,hamilton_01
1,1081,-0.022152999124226615,hamilton_01
2,1081,-0.016768380109680625,hamilton_01
3,1081,0.013681481620035019,hamilton_01
4,1081,-0.0673362036902255,hamilton_01
5,1081,-0.025069625586863875,hamilton_01
6,1081,0.00924788990425469,hamilton_01
7,1081,-0.008533039073899263,hamilton_01
8,1081,0.010928682532780875,hamilton_01
9,1081,-0.051827771309151706,hamilton_01
10,1081,0.001576264022056173,hamilton_01
11,1081,-0.026028396032923416,hamilton_01
12,1081,0.025389995657716734,hamilton_01
13,1081,0.0032991618779715016,hamilton_01
14,1081,0.02868055922941979,hamilton_01
15,1081,0.03513409135866981,hamilton_01
1,1082,0.2228110686476242,hamilton_01
2,1082,0.26203571853680085,hamilton_01
3,1082,0.3465663025551997,hamilton_01
4,1082,0.417800365328261,hamilton_01
5,1082,0.4455567701478465,hamilton_01
6,1082,0.4678027945067629,hamilton_01
7,1082,0.47840075448447966,hamilton_01
8,1082,0.4844292133105371,hamilton_01
9,1082,0.48335615524352277,hamilton_01
10,1082,0.49910063153100753,hamilton_01
11,1082,0.49863782955188396,hamilton_01
12,1082,0.49637089012685376,hamilton_01
13,1082,0.49831505818842403,hamilton_01
14,1082,0.484244192819435,hamilton_01
15,1082,0.4784058072144629,hamilton_01
1,1084,0.1452872691724166,hamilton_01
2,1084,0.19156761197582933,hamilton_01
3,1084,0.21039358481271217,hamilton_01
4,1084,0.2211556530750561,hamilton_01
5,1084,0.23325244375746443,hamilton_01
6,1084,0.24626194723259873,hamilton_01
7,1084,0.2579919462675564,hamilton_01
8,1084,0.24052738084152914,hamilton_01
9,1084,0.22945009409127715,hamilton_01
10,1084,0.227497392363658,hamilton_01
11,1084,0.2522961535901528,hamilton_01
12,1084,0.2693469045166892,hamilton_01
