n_best,neuron_id,score,session_name
14,1076,0.32521236930123015,hamilton_01
15,1076,0.45833106517736716,hamilton_01
1,1077,0.006733365704301675,hamilton_01
2,1077,0.015152124610338769,hamilton_01
3,1077,0.03258350793216493,hamilton_01
4,1077,0.053648666163380085,hamilton_01
5,1077,0.06464307789311807,hamilton_01
6,1077,0.09401185538334293,hamilton_01
7,1077,0.11838728099661419,hamilton_01
8,1077,0.14616099168342103,hamilton_01
9,1077,0.17185557242900168,hamilton_01
10,1077,0.18854544150482588,hamilton_01
11,1077,0.21897133127222723,hamilton_01
12,1077,0.24694732452268325,hamilton_01
13,1077,0.26127254415668394,hamilton_01
14,1077,0.3493843947386782,hamilton_01
15,1077,0.40422261711709495,hamilton_01
1,1078,0.0024668751750924756,hamilton_01
2,1078,0.00769216454915791,hamilton_01
3,1078,0.02163829204116139,hamilton_01
4,1078,0.029536979893498194,hamilton_01
5,1078,0.04548745107316419,hamilton_01
6,1078,0.052852120589744776,hamilton_01
7,1078,0.07709645889634435,hamilton_01
8,1078,0.09912344306572778,hamilton_01
9,1078,0.13045497574055845,hamilton_01
10,1078,0.15548317398260203,hamilton_01
11,1078,0.18382791085838796,hamilton_01
12,1078,0.22523037451588585,hamilton_01
13,1078,0.26621135614635366,hamilton_01
14,1078,0.29914141874942124,hamilton_01
15,1078,0.3875969023192175,hamilton_01
1,1079,-0.005178781646342623,hamilton_01
2,1079,-0.004158746947215209,hamilton_01
3,1079,-0.0053312115945592705,hamilton_01
4,1079,-0.003489900094768195,hamilton_01
5,1079,-0.005553099826947161,hamilton_01
6,1079,-0.0051567910433367725,hamilton_01
7,1079,-0.007369586233467462,hamilton_01
8,1079,-0.002853997588069301,hamilton_01
9,1079,-0.010327929612735164,hamilton_01
10,1079,0.0032311634485032714,hamilton_01
11,1079,-0.017495746012995906,hamilton_01
12,1079,0.026274102683726274,hamilton_01
13,1079,0.01707324598422042,hamilton_01
14,1079,0.04634937733320974,hamilton_01
15,1079,0.061859983221567647,hamilton_01
1,1080,0.008617887574696947,hamilton_01
2,1080,0.012886200221262167,hamilton_01
3,1080,0.03212118301923981,hamilton_01
4,1080,0.0492715879673876,hamilton_01
