pop_true,shuffle,session_name,window,window_start,window_stop
0.48719948727528245,0.47385501713627537,hamilton_20,-0.3 - -0.2,-0.2,-0.2
0.4736921713876442,0.4737011604437194,hamilton_01,-0.2 - -0.1,-0.1,-0.1
0.47377515506387036,0.4738975599018359,hamilton_02,-0.2 - -0.1,-0.1,-0.1
0.47576189498176547,0.47374213585558306,hamilton_13,-0.2 - -0.1,-0.1,-0.1
0.4739323483870212,0.4739063988325338,hamilton_14,-0.2 - -0.1,-0.1,-0.1
0.5874482270866341,0.4737630205022487,hamilton_23,-0.2 - -0.1,-0.1,-0.1
0.47350794004013974,0.47377995579150517,hamilton_07,-0.2 - -0.1,-0.1,-0.1
0.5332411403814621,0.47387933990998393,hamilton_08,-0.2 - -0.1,-0.1,-0.1
0.5732381539227852,0.47380810524393324,hamilton_19,-0.2 - -0.1,-0.1,-0.1
0.4771593402483919,0.47374244307819546,hamilton_20,-0.2 - -0.1,-0.1,-0.1
0.48116996700880527,0.4737595057771148,hamilton_01,-0.1 - -0.0,0.0,-0.0
0.6581408832289786,0.4736373811312777,hamilton_02,-0.1 - -0.0,0.0,-0.0
0.5327300817936436,0.47373982847236173,hamilton_13,-0.1 - -0.0,0.0,-0.0
0.6516567578636874,0.4616325294087763,hamilton_14,-0.1 - -0.0,0.0,-0.0
0.6899889292903052,0.4737656739987742,hamilton_23,-0.1 - -0.0,0.0,-0.0
0.7122483882304929,0.47382334123730574,hamilton_07,-0.1 - -0.0,0.0,-0.0
0.7968420740647625,0.47394026724206395,hamilton_08,-0.1 - -0.0,0.0,-0.0
0.7785753871543991,0.4737865430473198,hamilton_19,-0.1 - -0.0,0.0,-0.0
0.7212804572133976,0.47397253862297484,hamilton_20,-0.1 - -0.0,0.0,-0.0
0.6072163741181666,0.4737307069122835,hamilton_01,-0.0 - 0.1,0.1,0.1
0.8218209641018037,0.4734440211218503,hamilton_02,-0.0 - 0.1,0.1,0.1
0.6346475401068655,0.4738015563639713,hamilton_13,-0.0 - 0.1,0.1,0.1
0.6825119316048095,0.4505913696000966,hamilton_14,-0.0 - 0.1,0.1,0.1
0.875981000983659,0.4738448539526438,hamilton_23,-0.0 - 0.1,0.1,0.1
0.8633863523562443,0.47377380609944264,hamilton_07,-0.0 - 0.1,0.1,0.1
0.9722406215260883,0.47387244953419017,hamilton_08,-0.0 - 0.1,0.1,0.1
0.9484733787966544,0.473881318102744,hamilton_19,-0.0 - 0.1,0.1,0.1
0.8887068905693736,0.4739466626122155,hamilton_20,-0.0 - 0.1,0.1,0.1
0.6473456508369226,0.47376110022924306,hamilton_01,0.1 - 0.2,0.2,0.2
0.609957404820246,0.4733305470433889,hamilton_02,0.1 - 0.2,0.2,0.2
0.6115828726693742,0.47383168819216714,hamilton_13,0.1 - 0.2,0.2,0.2
0.6860590068892797,0.45644915531776037,hamilton_14,0.1 - 0.2,0.2,0.2
0.8499065096957235,0.47375346757765735,hamilton_23,0.1 - 0.2,0.2,0.2
0.866864351302756,0.4737753692145017,hamilton_07,0.1 - 0.2,0.2,0.2
0.9159149581602042,0.47386001666688865,hamilton_08,0.1 - 0.2,0.2,0.2
0.9225962739807821,0.47385056358067457,hamilton_19,0.1 - 0.2,0.2,0.2
0.9171079256315549,0.47380919751009687,hamilton_20,0.1 - 0.2,0.2,0.2
0.481460872906556,0.47368894456667837,hamilton_01,0.2 - 0.3,0.3,0.3
0.5029674188986796,0.4737656788927138,hamilton_02,0.2 - 0.3,0.3,0.3
0.5068777262581847,0.4737567670805092,hamilton_13,0.2 - 0.3,0.3,0.3
0.47171606639343444,0.46951647303209815,hamilton_14,0.2 - 0.3,0.3,0.3
0.7454966943303003,0.4737687072010762,hamilton_23,0.2 - 0.3,0.3,0.3
0.6504613573947066,0.473713320590799,hamilton_07,0.2 - 0.3,0.3,0.3
0.8679275641169785,0.4738255031675438,hamilton_08,0.2 - 0.3,0.3,0.3
0.7155171553856544,0.4737601995472992,hamilton_19,0.2 - 0.3,0.3,0.3
0.8850319538955457,0.4737999850020014,hamilton_20,0.2 - 0.3,0.3,0.3
0.5034666123036573,0.4736999288421959,hamilton_01,0.3 - 0.4,0.4,0.4
0.5026344432849272,0.4736693429239484,hamilton_02,0.3 - 0.4,0.4,0.4
0.4942901714801914,0.4739946042196423,hamilton_13,0.3 - 0.4,0.4,0.4
