,fold,offset,f1score,session_name
76,1,1.0,0.5096153846153846,hamilton_01
77,2,1.0,0.5195616649043545,hamilton_01
78,3,1.0,0.595028067361668,hamilton_01
79,4,1.0,0.5140893470790378,hamilton_01
80,0,1.1,0.5980005767567047,hamilton_01
81,1,1.1,0.5294117647058824,hamilton_01
82,2,1.1,0.5587811208305297,hamilton_01
83,3,1.1,0.5544554455445544,hamilton_01
84,4,1.1,0.5882469921447748,hamilton_01
85,0,1.2,0.5780663780663782,hamilton_01
86,1,1.2,0.5081018518518519,hamilton_01
87,2,1.2,0.6076923076923078,hamilton_01
88,3,1.2,0.5423561859732072,hamilton_01
89,4,1.2,0.4627659574468085,hamilton_01
90,0,1.3,0.5780663780663781,hamilton_01
91,1,1.3,0.5876010781671159,hamilton_01
92,2,1.3,0.6274509803921567,hamilton_01
93,3,1.3,0.4950495049504951,hamilton_01
94,4,1.3,0.5821513002364066,hamilton_01
95,0,1.4,0.5058823529411764,hamilton_01
96,1,1.4,0.5049019607843137,hamilton_01
97,2,1.4,0.6426886792452831,hamilton_01
98,3,1.4,0.5735886107020127,hamilton_01
99,4,1.4,0.5140893470790378,hamilton_01
0,0,-0.5,1.0,hamilton_02
1,1,-0.5,1.0,hamilton_02
2,2,-0.5,1.0,hamilton_02
3,3,-0.5,1.0,hamilton_02
4,4,-0.5,1.0,hamilton_02
5,0,-0.3,1.0,hamilton_02
6,1,-0.3,1.0,hamilton_02
7,2,-0.3,1.0,hamilton_02
8,3,-0.3,1.0,hamilton_02
9,4,-0.3,1.0,hamilton_02
10,0,-0.2,1.0,hamilton_02
11,1,-0.2,1.0,hamilton_02
12,2,-0.2,1.0,hamilton_02
13,3,-0.2,1.0,hamilton_02
14,4,-0.2,1.0,hamilton_02
15,0,-0.1,1.0,hamilton_02
16,1,-0.1,1.0,hamilton_02
17,2,-0.1,1.0,hamilton_02
18,3,-0.1,1.0,hamilton_02
19,4,-0.1,1.0,hamilton_02
20,0,-0.0,1.0,hamilton_02
21,1,-0.0,1.0,hamilton_02
22,2,-0.0,1.0,hamilton_02
23,3,-0.0,1.0,hamilton_02
24,4,-0.0,1.0,hamilton_02
25,0,0.1,1.0,hamilton_02
26,1,0.1,1.0,hamilton_02
27,2,0.1,1.0,hamilton_02
28,3,0.1,1.0,hamilton_02
29,4,0.1,1.0,hamilton_02
30,0,0.2,1.0,hamilton_02
31,1,0.2,1.0,hamilton_02
32,2,0.2,1.0,hamilton_02
33,3,0.2,1.0,hamilton_02
34,4,0.2,1.0,hamilton_02
35,0,0.3,1.0,hamilton_02
36,1,0.3,1.0,hamilton_02
37,2,0.3,1.0,hamilton_02
38,3,0.3,1.0,hamilton_02
39,4,0.3,1.0,hamilton_02
40,0,0.4,1.0,hamilton_02
41,1,0.4,1.0,hamilton_02
42,2,0.4,1.0,hamilton_02
43,3,0.4,1.0,hamilton_02
44,4,0.4,1.0,hamilton_02
45,0,0.5,1.0,hamilton_02
46,1,0.5,1.0,hamilton_02
47,2,0.5,1.0,hamilton_02
48,3,0.5,1.0,hamilton_02
49,4,0.5,1.0,hamilton_02
50,0,0.6,1.0,hamilton_02
51,1,0.6,1.0,hamilton_02
52,2,0.6,1.0,hamilton_02
53,3,0.6,1.0,hamilton_02
54,4,0.6,1.0,hamilton_02
55,0,0.7,1.0,hamilton_02
56,1,0.7,1.0,hamilton_02
57,2,0.7,1.0,hamilton_02
58,3,0.7,1.0,hamilton_02
59,4,0.7,1.0,hamilton_02
60,0,0.8,1.0,hamilton_02
61,1,0.8,1.0,hamilton_02
62,2,0.8,1.0,hamilton_02
63,3,0.8,1.0,hamilton_02
64,4,0.8,1.0,hamilton_02
65,0,0.9,1.0,hamilton_02
66,1,0.9,1.0,hamilton_02
67,2,0.9,1.0,hamilton_02
68,3,0.9,1.0,hamilton_02
69,4,0.9,1.0,hamilton_02
70,0,1.0,1.0,hamilton_02
71,1,1.0,1.0,hamilton_02
72,2,1.0,1.0,hamilton_02
73,3,1.0,1.0,hamilton_02
74,4,1.0,1.0,hamilton_02
75,0,1.1,1.0,hamilton_02
76,1,1.1,1.0,hamilton_02
77,2,1.1,1.0,hamilton_02
78,3,1.1,1.0,hamilton_02
79,4,1.1,1.0,hamilton_02
80,0,1.2,1.0,hamilton_02
81,1,1.2,1.0,hamilton_02
82,2,1.2,1.0,hamilton_02
83,3,1.2,1.0,hamilton_02
84,4,1.2,1.0,hamilton_02
85,0,1.3,1.0,hamilton_02
86,1,1.3,1.0,hamilton_02
87,2,1.3,1.0,hamilton_02
88,3,1.3,1.0,hamilton_02
89,4,1.3,1.0,hamilton_02
90,0,1.4,1.0,hamilton_02
91,1,1.4,1.0,hamilton_02
92,2,1.4,1.0,hamilton_02
93,3,1.4,1.0,hamilton_02
94,4,1.4,1.0,hamilton_02
95,0,-0.4,1.0,hamilton_02
96,1,-0.4,1.0,hamilton_02
97,2,-0.4,1.0,hamilton_02
98,3,-0.4,1.0,hamilton_02
99,4,-0.4,1.0,hamilton_02
0,0,-0.5,0.6439344869066346,hamilton_12
1,1,-0.5,0.5818606825619449,hamilton_12
