neuron_id,F1 Score,session_name,window,window_start,window_stop
1143,0.47366789001079274,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1144,0.47368009577897335,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1145,0.47368091905020215,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1146,0.47368104539487854,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1147,0.4736822330963518,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1148,0.47367879192910856,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1149,0.4736724237517003,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1150,0.4736707505464691,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1151,0.47367451436683317,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1152,0.4736765433507874,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1153,0.4736772002600915,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1154,0.4736690110204857,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1155,0.47367898969462735,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1156,0.47367349170894696,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1157,0.4736800910545133,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1158,0.4736720698455108,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1159,0.4736819908372697,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1161,0.4736767811851041,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1162,0.47368205818950215,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1164,0.4736822923394445,hamilton_13,-0.5 - -0.4,-0.4,-0.4
1165,0.47548547597178503,hamilton_14,-0.5 - -0.4,-0.4,-0.4
1166,0.47550983051241846,hamilton_14,-0.5 - -0.4,-0.4,-0.4
1167,0.4755114797157362,hamilton_14,-0.5 - -0.4,-0.4,-0.4
1168,0.4755048407928146,hamilton_14,-0.5 - -0.4,-0.4,-0.4
1170,0.47549550812142805,hamilton_14,-0.5 - -0.4,-0.4,-0.4
1171,0.47551955148985525,hamilton_14,-0.5 - -0.4,-0.4,-0.4
1172,0.4755163722981762,hamilton_14,-0.5 - -0.4,-0.4,-0.4
1173,0.47552469073685133,hamilton_14,-0.5 - -0.4,-0.4,-0.4
1174,0.4755110522576511,hamilton_14,-0.5 - -0.4,-0.4,-0.4
1175,0.4754996314693467,hamilton_14,-0.5 - -0.4,-0.4,-0.4
1247,0.47367439179578935,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1249,0.4736704515006089,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1250,0.4736665028046878,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1251,0.47366150868932894,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1254,0.4736620603272527,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1255,0.47366291122129167,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1258,0.47367285057683467,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1260,0.4736696880902437,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1261,0.4736703148640973,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1263,0.4736646888005337,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1264,0.47365701329192056,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1265,0.47366826680769414,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1266,0.47366612413234643,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1267,0.4736622475093866,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1269,0.47367062805273613,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1270,0.4736399441021679,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1271,0.47366483395098147,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1272,0.4736660278802736,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1273,0.47365794457954713,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1274,0.47364546662438833,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1276,0.47366173795083755,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1277,0.473671468507634,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1278,0.47367037978024634,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1279,0.4736710337533424,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1280,0.4736665460440478,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1281,0.47367282009167894,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1282,0.4736674002351296,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1283,0.4736591409238621,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1284,0.4736735270977288,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1285,0.47365910169707337,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1286,0.4736652575511524,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1287,0.47366961945919295,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1288,0.4736687031983976,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1289,0.4736656358229189,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1291,0.4736661766996364,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1292,0.47366700531739736,hamilton_23,-0.5 - -0.4,-0.4,-0.4
