ensemble_orig,size,average_degree,average_weight,average_weight_out,volume,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,modularity,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,block,bin_width,ensemble_id
3,2,0.4380756290295375,0.4380756290295375,0.01446158858430199,1.4835379785997587,0.44172717092472336,0.4380756290295375,0.6073867205406837,0.40941770908619896,0.30369336027034183,0.37442020876558246,0.5,0.5555555555555556,0.3416666666666667,0.3958333333333333,0.8166666666666667,-1,hamilton_20,pre,0.05,-1
4,18,0.38885433306251205,0.028685975389857447,0.009097648400537527,9.091837127248846,0.4171283726310202,0.022873784297794825,2.09245913212363,0.23014701020681394,0.1162477295624239,0.37442020876558246,0.5,0.7708333333333334,0.3416666666666667,0.041666666666666664,0.0,-1,hamilton_20,pre,0.05,-1
0,8,0.07099931217610073,0.014947223616021205,0.010644307890149137,0.7702363473216394,0.44525785359044096,0.010142758882300104,0.20224184991283362,0.26257115834132455,0.025280231239104202,0.3871307068789655,0.3607594936708861,0.7974683544303798,0.379746835443038,0.26582278481012656,0.46835443037974683,-1,hamilton_01,base_shock,0.05,-1
1,6,0.04783903658988803,0.015946345529962675,0.00925905708065674,0.4814744182331198,0.5431466324733426,0.009567807317977605,0.19444019869379153,0.4038432600579989,0.03240669978229859,0.3871307068789655,0.569620253164557,0.7974683544303798,0.5443037974683544,0.5063291139240507,0.46835443037974683,-1,hamilton_01,base_shock,0.05,-1
2,3,0.1732304924250053,0.08661524621250265,0.010587613421959746,0.6255676114946134,0.25383325037381943,0.08661524621250265,0.10587613421959746,0.16924810727754427,0.03529204473986582,0.3871307068789655,0.22784810126582278,0.22784810126582278,0.0379746835443038,0.0379746835443038,0.46835443037974683,-1,hamilton_01,base_shock,0.05,-1
0,4,0.11876835145494286,0.03958945048498095,0.023848940677422638,1.09514586343276,0.6636484242335169,0.03958945048498095,0.6200724576129887,0.5662007941749031,0.15501811440324717,0.10817558028008097,1.0,1.0,1.0,0.9680851063829787,0.9361702127659575,-1,hamilton_02,base_shock,0.05,-1
1,6,0.3723435747687791,0.0797879088790241,0.04082568943507407,3.8670890260156376,0.8770199177264157,0.07446871495375582,1.633027577402963,0.4547313263811283,0.2721712629004938,0.10817558028008097,0.5106382978723404,1.0,1.0,0.9680851063829787,0.9361702127659575,-1,hamilton_02,base_shock,0.05,-1
2,3,0.012421458631177613,0.00931609397338321,0.007204811413217075,0.1381317356785719,0.7440052313936387,0.006210729315588807,0.10086735978503902,0.7302258187774757,0.033622453261679675,0.10817558028008097,1.0,1.0,1.0,0.9680851063829787,0.0,-1,hamilton_02,base_shock,0.05,-1
3,6,0.16238138275984604,0.048714414827953814,0.043238320979979886,2.3579145679184323,0.8580806167685506,0.032476276551969205,1.3836262713593566,0.5868008494390966,0.23060437855989277,0.10817558028008097,1.0,1.0,1.0,0.9680851063829787,0.9361702127659575,-1,hamilton_02,base_shock,0.05,-1
0,6,0.44485312154926865,0.08897062430985374,0.024310352004889194,3.7873949215205145,0.6120262835949457,0.08897062430985374,1.1182761922249025,0.3167636517868131,0.1863793653708171,0.18206761308113936,0.047619047619047616,0.9880952380952381,0.6904761904761905,0.0,0.5119047619047619,-1,hamilton_13,base_shock,0.05,-1
