ensemble_orig,size,average_degree,average_weight,average_weight_out,volume,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,modularity,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,block,bin_width,ensemble_id,prop_total,prop_total_SIR,comp_SIR,prop_total_SR,comp_SR,neuron_type_entropy,prop_total_FF,comp_FF,response_fs_entropy
1,7,0.6129706643663312,0.1191887402934532,0.0708803722882956,5.566641351753639,0.3525443396637073,0.1021617773943885,1.2758467011893222,0.2291950604626965,0.1822638144556174,0.3774338103379908,0.2911392405063291,0.8734177215189873,0.0189873417721519,0.0,0.0,1,hamilton_01,base_shock,1.0,104,0.4117647058823529,0.3333333333333333,0.8571428571428571,0.09090909090909091,0.14285714285714285,0.5916727785823274,,,0.9709505944546688
1,3,0.7196456571002393,0.3598228285501196,0.0726988115789773,3.394816768143333,0.4060017078362329,0.3598228285501196,1.235879796842615,0.364049043365169,0.4119599322808716,0.3103916115323981,0.7529411764705882,0.7215686274509803,0.0,0.1647058823529411,0.0470588235294117,1,hamilton_13,base_shock,1.0,107,0.15789473684210525,,,0.15,1.0,0.0,,,0.0
0,47,11.359538715479385,0.2513645572634326,0.0953468108963224,637.444956260937,0.6231962181271634,0.2469464938147691,103.5466366334062,0.4607560958603248,2.798557746848816,0.1295261088225211,0.0,0.4597701149425287,0.0,0.0,0.0,0,hamilton_23,base_shock,1.0,109,0.5595238095238095,0.27631578947368424,0.44680851063829785,0.30952380952380953,0.5531914893617021,0.9918207974218425,,,1.3416303588849137
1,13,2.911790626819603,0.2458005074587977,0.0906491605531249,72.2093099982892,0.5192743946951389,0.2426492189016336,34.35603184963436,0.475783965397929,2.642771680741105,0.1295261088225211,1.0,0.4597701149425287,0.0,0.0,0.0,1,hamilton_23,base_shock,1.0,110,0.15476190476190477,0.039473684210526314,0.23076923076923078,0.10714285714285714,0.6923076923076923,1.1401156785146092,0.16666666666666666,0.07692307692307693,1.419556298571613
0,10,1.8987014567316065,0.2157615291740461,0.0695944384896301,29.28699146378132,0.4284779732140108,0.210966828525734,10.299976896465258,0.351691190582107,1.029997689646526,0.3043691278874364,0.0163934426229508,0.9508196721311476,0.0,0.0163934426229508,0.0,0,hamilton_07,base_shock,1.0,112,0.18181818181818182,0.058823529411764705,0.2,0.12307692307692308,0.8,0.7219280948873623,,,1.061278124459133
2,19,1.5881191873177356,0.1125905393993917,0.0734261552620726,55.50628812445204,0.6911149924549088,0.0882288437398742,25.33202356541505,0.4563811492603772,1.3332643981797394,0.3043691278874364,0.0327868852459016,1.0,0.040983606557377,0.0218579234972677,0.0163934426229508,2,hamilton_07,base_shock,1.0,114,0.34545454545454546,0.20588235294117646,0.3684210526315789,0.15384615384615385,0.5263157894736842,1.359992492218488,0.2,0.10526315789473684,1.2406705316766884
3,17,2.816525722904849,0.1930682955217033,0.0725172724636772,66.88046267486585,0.480878600663376,0.176032857681553,18.999525385483423,0.2840818473079071,1.1176191403225544,0.3043691278874364,0.0,0.9508196721311476,0.0,0.0,0.0,3,hamilton_07,base_shock,1.0,115,0.2909090909090909,0.11764705882352941,0.25,0.13846153846153847,0.5625,1.4197367178034828,0.3,0.1875,1.4353713907745334
0,43,11.750035048764763,0.2890454846092019,0.0982125322772719,555.0452609614618,0.7832721996757794,0.2797627392563039,49.79375386457694,0.693561040304158,2.766319659143164,0.0366731335856015,0.0,0.631578947368421,0.0,1.0,0.0,0,hamilton_08,base_shock,1.0,116,0.7,0.37142857142857144,0.6190476190476191,0.3181818181818182,0.3333333333333333,1.1657840518150735,0.3333333333333333,0.047619047619047616,0.7380636700495733
5,12,1.221047668287592,0.1201030493397631,0.1004455547656576,63.67000274509206,0.8569054379765989,0.1110043334806902,49.01743072564092,0.7698669485202649,4.08478589380341,0.0366731335856015,1.0,1.0,0.3684210526315789,1.0,0.0,5,hamilton_08,base_shock,1.0,118,0.2,0.1,0.5833333333333334,0.11363636363636363,0.4166666666666667,0.9798687566511527,,,1.556656707462823
0,20,2.8597621193033747,0.1798592527863757,0.0801964246723652,76.60277715677988,0.4402752682417544,0.1505137957528091,19.40753477071239,0.253352887337123,0.9703767385356196,0.3811119161922082,0.0,0.912280701754386,0.0,0.0,0.0,0,hamilton_19,base_shock,1.0,119,0.37037037037037035,0.21052631578947367,0.4,0.16666666666666666,0.45,1.4577174691301484,0.1875,0.15,1.159554752378731
