ensemble_orig,size,average_degree,average_weight,average_weight_out,volume,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,modularity,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,shuffle,bin_width
2,3,0.08342663350489678,0.04171331675244839,0.018223355939974498,0.7240871549540274,0.6833348411398196,0.04171331675244839,0.47380725443933697,0.6543511388065145,0.15793575147977898,0.22677915230263368,0.9826086956521739,0.8782608695652174,0.8869565217391304,0.9478260869565217,0.2782608695652174,-1,hamilton_28,False,0.05
3,18,0.35127710918307353,0.029273092431922793,0.02393293154817154,9.147073887979566,0.6651213538469909,0.020663359363710207,2.8240859226842416,0.3563793498717684,0.20172042304887441,0.22677915230263368,0.672463768115942,0.8782608695652174,0.8869565217391304,0.8579710144927535,0.5043478260869565,-1,hamilton_28,False,0.05
0,14,0.0757433128238658,0.008551664351081623,0.0067591417305735615,1.8579851037418018,0.5649311087813177,0.0058264086787589075,0.7975787242076803,0.4292707851109431,0.056969908871977164,0.1587746731259594,0.8173076923076923,1.0,0.0,0.04807692307692308,0.0,-1,hamilton_29,False,0.05
1,20,0.2540827405086047,0.0184117927904786,0.0067591417305735615,5.879233534379774,0.5649311087813178,0.013372775816242351,0.7975787242076805,0.42927078511094324,0.05696990887197718,0.1587746731259594,0.0,1.0,0.0,0.04807692307692308,0.0,-1,hamilton_29,False,0.05
0,15,0.15321608326745328,0.01401366615251097,0.00544249205780762,3.3812971685155153,0.4757440623667455,0.010944005947675235,1.0830559195037166,0.3203078184279226,0.07220372796691445,0.2887005556936059,0.0,0.9212598425196851,0.0,0.0,0.0,-1,hamilton_30,False,0.05
1,23,0.1724584586604758,0.011805192110687332,0.005895763042972112,5.346153101246418,0.5338130773892474,0.007839020848203445,1.3796085520554746,0.27575676550887346,0.05998298052415107,0.2887005556936059,0.0,0.9212598425196851,0.0,0.0,0.0,-1,hamilton_30,False,0.05
2,11,0.07669016695923167,0.012781694493205278,0.005763716762494121,1.6216935994882549,0.5689638034850681,0.007669016695923167,0.7781017629367064,0.4798081235458078,0.07073652390333694,0.2887005556936059,0.7244094488188977,0.9212598425196851,0.007874015748031496,0.07086614173228346,0.0,-1,hamilton_30,False,0.05
0,6,0.9636998497920599,0.19273996995841197,0.043959155923082714,9.430809040368224,0.5661843628382107,0.19273996995841197,3.648609941615866,0.3868819659053776,0.6081016569359777,0.3258594777212167,0.0,0.5098039215686274,0.049019607843137254,0.0261437908496732,0.5882352941176471,-1,chronic_08,False,0.05
1,7,0.2827167144290358,0.052079394763243435,0.027526116191649123,3.410375042969004,0.47398805190465115,0.04711945240483929,1.4313580419657543,0.41970693074262083,0.20447972028082204,0.3258594777212167,0.9705882352941176,1.0,0.0130718954248366,0.0784313725490196,0.0,-1,chronic_08,False,0.05
2,3,0.4496679319007632,0.2248339659503816,0.029564792446728726,1.9402996446368643,0.32598411623735646,0.2248339659503816,0.5912958489345745,0.30474460507631446,0.19709861631152484,0.3258594777212167,0.849673202614379,0.5098039215686274,0.0,0.0,0.0,4,chronic_08,False,0.05
3,12,0.9709225615991204,0.09246881539039242,0.04585169201380797,14.998244256197426,0.4496146995421895,0.08826568741810185,3.34717351700798,0.22644367633226314,0.2789311264173317,0.3258594777212167,0.0,1.0,0.0,0.0,0.0,-1,chronic_08,False,0.05
0,3,0.1211187797405413,0.06055938987027065,0.03900690993739227,0.831439258470331,0.6317717083743803,0.06055938987027065,0.46808291924870726,0.5629790925555752,0.1560276397495691,0.17290353153167193,0.8888888888888888,0.9365079365079365,0.6190476190476191,0.873015873015873,0.09523809523809523,-1,chronic_09,False,0.05
1,5,1.0672638064994169,0.2668159516248542,0.034641022202006745,6.029139476537219,0.5461564344881119,0.2668159516248542,0.6928204440401351,0.4312444397106997,0.138564088808027,0.17290353153167193,0.14285714285714285,0.5714285714285714,0.5238095238095237,0.873015873015873,0.09523809523809523,-1,chronic_09,False,0.05
2,2,0.2751920454512934,0.2751920454512934,0.02809219059892848,0.7751216156940146,0.3226962133713034,0.2751920454512934,0.22473752479142786,0.28993840481432887,0.11236876239571393,0.17290353153167193,0.8888888888888888,0.5714285714285714,0.09523809523809523,0.5238095238095237,0.09523809523809523,-1,chronic_09,False,0.05
0,3,0.12756950909289097,0.06378475454644549,0.05188754945462172,1.8355599120080812,0.8611614247624233,0.06378475454644549,1.452851384729408,0.7915031131509107,0.48428379490980267,0.0423385045621085,1.0,1.0,1.0,1.0,0.19999999999999998,-1,chronic_01,False,0.05
1,3,0.060335865867342464,0.04525189940050685,0.026305104983936567,0.47036375242532963,0.6281964270164572,0.030167932933671232,0.28935615482330224,0.6151752836635463,0.09645205160776742,0.0423385045621085,1.0,1.0,0.3,1.0,0.0,-1,chronic_01,False,0.05
2,11,1.4433379749943867,0.14700664560128013,0.05341335373964839,18.70762547313962,0.8617570896227462,0.14433379749943867,2.8309077482013643,0.7104333552308012,0.35386346852517053,0.0423385045621085,0.0,1.0,1.0,1.0,0.025,-1,chronic_01,False,0.05
3,2,0.11267116457856734,0.11267116457856734,0.048449862692503474,1.6788382099322388,0.9349443005486715,0.11267116457856734,1.4534958807751042,0.8657748389189749,0.7267479403875521,0.0423385045621085,1.0,1.0,1.0,1.0,0.75,-1,chronic_01,False,0.05
0,4,0.1454401329849725,0.048480044328324166,0.02258450375816384,1.2367111409266411,0.6437909085285709,0.048480044328324166,0.6549506089867515,0.5295906111883257,0.16373765224668788,0.2273558922530544,0.8831168831168831,1.0,0.3246753246753247,0.5974025974025974,0.2987012987012987,-1,hamilton_01,False,0.1
1,9,0.5043646795116765,0.07321422767104982,0.025802188572845258,5.0811280756348385,0.39322567659040986,0.06304558493895956,0.5418459600297505,0.2865867664971916,0.06773074500371881,0.2273558922530544,0.0,1.0,0.0,0.01948051948051948,0.0,-1,hamilton_01,False,0.1
2,4,0.11198468063674052,0.03732822687891351,0.014716959818044656,0.6539761599995872,0.34766544808443,0.03732822687891351,0.20603743745262515,0.315053437808429,0.05150935936315629,0.2273558922530544,0.8831168831168831,1.0,0.0,0.01948051948051948,0.0,-1,hamilton_01,False,0.1
0,8,0.4318412486956186,0.0639764812882398,0.04085140941277844,5.293043413139978,0.4768239291984682,0.06169160695651694,1.8383134235750296,0.3473074524594711,0.2297891779468787,0.20701456738532942,0.7108433734939759,0.9879518072289156,0.08433734939759036,0.12048192771084337,0.012048192771084338,-1,hamilton_02,False,0.1
1,11,1.1232137380947569,0.18720228968245947,0.04085140941277844,14.193664542617356,0.4768239291984682,0.11232137380947568,1.8383134235750296,0.3473074524594711,0.2297891779468787,0.20701456738532942,0.024096385542168676,0.9879518072289156,0.08433734939759036,0.12048192771084337,0.012048192771084338,-1,hamilton_02,False,0.1
0,9,0.40296000077252503,0.05037000009656563,0.02494460802786302,5.4226517849588625,0.6754424934687271,0.05037000009656563,1.7960117780061369,0.34423705206682054,0.19955686422290408,0.1622183471240412,0.0,0.8695652173913043,0.0,0.0,0.0,-1,hamilton_12,False,0.1
1,11,0.31103248896144076,0.032276956401658945,0.024944608027863024,5.217369156581986,0.6754424934687273,0.031103248896144076,1.7960117780061373,0.34423705206682065,0.19955686422290414,0.1622183471240412,0.13043478260869565,1.0,0.0,0.0,0.0,-1,hamilton_12,False,0.1
0,7,0.21464423837782184,0.04419146084249274,0.033089049637991794,2.3628249592325394,0.7429274813734157,0.035774039729636976,0.8603152905877867,0.3788229431907725,0.12290218436968381,0.22756931581000914,0.2535211267605634,0.8309859154929577,0.8028169014084507,0.31690140845070425,0.5774647887323944,-1,hamilton_13,False,0.1
1,3,0.1760001476377301,0.08800007381886504,0.01983916446160617,0.6867137586060394,0.2713298142771801,0.08800007381886504,0.15871331569284933,0.2311200463130687,0.05290443856428311,0.22756931581000914,0.323943661971831,0.38028169014084506,0.0,0.04225352112676056,0.08450704225352113,-1,hamilton_13,False,0.1
2,5,0.1744541041737065,0.04845947338158514,0.03560189295520656,1.5843083799726636,0.6829217020689322,0.04361352604342662,0.7120378591041313,0.44943135320436617,0.14240757182082625,0.22756931581000914,0.323943661971831,0.8309859154929577,0.8028169014084507,0.4647887323943662,0.5774647887323944,-1,hamilton_13,False,0.1
0,3,0.03622502249926685,0.027168766874450138,0.018720910805092552,0.14611688910798565,0.30634952873599675,0.018112511249633426,0.037441821610185104,0.2562456800083818,0.012480607203395035,0.25737746434194053,0.819672131147541,0.8032786885245902,0.8114754098360657,0.6885245901639344,0.8360655737704917,-1,hamilton_14,False,0.1
1,4,0.10869127294610996,0.07246084863073997,0.016300370252898547,0.5325673133018312,0.4546879082335168,0.036230424315369984,0.09780222151739129,0.27104497883360046,0.024450555379347823,0.25737746434194053,0.29508196721311475,0.39344262295081966,0.8114754098360657,0.6885245901639344,0.9344262295081968,-1,hamilton_14,False,0.1
2,3,0.02649099507112379,0.019868246303342843,0.01690550539094705,0.21471702834094777,0.8291449571220579,0.013245497535561895,0.1352440431275764,0.6298710641282873,0.045081347709192136,0.25737746434194053,0.819672131147541,0.8032786885245902,0.8852459016393442,0.9016393442622951,0.9344262295081968,-1,hamilton_14,False,0.1
0,2,0.056281399945503886,0.056281399945503886,0.02629533026361165,0.1914487906818427,0.5507655101251849,0.056281399945503886,0.07888599079083494,0.4120474749925731,0.03944299539541747,0.16929720991146247,0.6122448979591837,0.40816326530612246,0.5102040816326531,0.6326530612244898,0.7142857142857143,-1,hamilton_05,False,0.1
1,6,0.08163211688598952,0.03498519295113837,0.02629533026361165,0.5686786921067722,0.5507655101251849,0.016326423377197904,0.07888599079083494,0.4120474749925731,0.03944299539541747,0.16929720991146247,0.3673469387755102,0.7142857142857143,0.5102040816326531,0.6326530612244898,0.7142857142857143,-1,hamilton_05,False,0.1
0,11,0.3364690963824199,0.03776693938986345,0.018775495446109652,5.84156654106312,0.5021826937723568,0.03364690963824199,2.1404064808565018,0.3664096720991839,0.19458240735059107,0.3342904231298739,0.509090909090909,0.9363636363636364,0.19090909090909092,0.03636363636363636,0.0,-1,hamilton_17,False,0.1
1,9,0.46802706889216,0.06793941322628129,0.02363597118869783,6.552204767710525,0.512564062691576,0.05850338361152,2.339961147681085,0.357125766156224,0.2599956830756761,0.3342904231298739,0.32727272727272727,0.7636363636363637,0.19090909090909092,0.03636363636363636,0.10909090909090909,-1,hamilton_17,False,0.1
2,10,0.45800396267765386,0.06361166148300748,0.019812921286533988,7.274596921745159,0.5584219965111676,0.050889329186405985,2.6945572949686225,0.37040640518708,0.26945572949686225,0.3342904231298739,0.32727272727272727,0.7636363636363637,0.19090909090909092,0.03636363636363636,0.10909090909090909,-1,hamilton_17,False,0.1
3,3,0.30624383865221666,0.15312191932610833,0.014768988272870041,1.9377917067846826,0.5776995104509391,0.15312191932610833,1.0190601908280326,0.5258873733745756,0.3396867302760109,0.3342904231298739,0.509090909090909,0.7636363636363637,0.19090909090909092,0.5,0.43636363636363634,-1,hamilton_17,False,0.1
0,5,0.5784922800523927,0.14462307001309818,0.05883800872750081,7.128798028642022,0.8112427903708197,0.14462307001309818,4.236336628380059,0.5942567893436372,0.8472673256760117,0.11657003615495823,0.4864864864864865,0.0972972972972973,1.0,0.972972972972973,0.9594594594594594,-1,hamilton_18,False,0.1
1,1,0.0,,0.007966337448831845,0.05576436214182292,1.002096674024824,,0.05576436214182292,1.0,0.05576436214182292,0.11657003615495823,1.0,0.0,1.0,1.0,0.0,-1,hamilton_18,False,0.1
2,1,0.0,,0.03029920676929899,0.18179524061579394,1.0068678298904823,,0.18179524061579394,1.0,0.18179524061579394,0.11657003615495823,1.0,0.0,1.0,1.0,0.0,-1,hamilton_18,False,0.1
3,3,0.2940557721938382,0.1470278860969191,0.022235657648342122,1.282409154251673,0.327877738413614,0.1470278860969191,0.40024183767015825,0.31210151326759067,0.13341394589005276,0.11657003615495823,1.0,0.0972972972972973,0.0,0.0,0.0,-1,hamilton_18,False,0.1
4,13,0.9837126573964526,0.08197605478303772,0.053418893495133506,17.48912717372563,0.7818020499100895,0.08197605478303772,4.700862627571749,0.5130143293522575,0.4273511479610681,0.11657003615495823,0.0,0.7567567567567568,0.8918918918918919,0.7297297297297298,0.04054054054054054,-1,hamilton_18,False,0.1
5,1,0.0,,0.024497722411620626,0.5144521706440331,1.0196822349743857,,0.5144521706440331,1.0,0.5144521706440331,0.11657003615495823,1.0,0.0,1.0,1.0,0.14594594594594595,-1,hamilton_18,False,0.1
0,21,0.9464891515987042,0.0499403823707859,0.015085481462164457,27.615124173663148,0.35807359499780406,0.04732445757993521,7.738851990090363,0.2802396230928772,0.36851676143287443,0.27683626629070984,0.014814814814814815,0.9333333333333333,0.0,0.0,0.0,-1,hamilton_23,False,0.1
1,13,0.344288817656364,0.0319696759252338,0.015905176051633982,11.61717867671639,0.6765999850380047,0.028690734804697,7.141424047183662,0.6147296384015154,0.5493403113218202,0.27683626629070984,0.8518518518518519,0.9925925925925926,0.14074074074074075,0.2074074074074074,0.0,-1,hamilton_23,False,0.1
2,47,1.5344733387734941,0.03732932035318542,0.015190166676354967,84.33314093014366,0.430768732584103,0.033358116060293354,12.212894007789394,0.2859514771956692,0.3392470557719276,0.27683626629070984,0.0,0.9925925925925926,0.0,0.0,0.0,-1,hamilton_23,False,0.1
3,2,0.9198424179537464,0.9198424179537464,0.021548487421983394,3.477369879978232,0.4842086742421831,0.9198424179537464,1.6376850440707387,0.4709550897936087,0.8188425220353693,0.27683626629070984,0.21728395061728395,0.6222222222222222,0.0,0.019753086419753086,0.02962962962962963,-1,hamilton_23,False,0.1
0,22,1.3743146489320188,0.07097399595423572,0.02175498754796665,36.500358690318805,0.34621052001855607,0.06544355471104851,6.265436413814398,0.1745564147268123,0.28479256426429084,0.36212969155416785,0.0,0.9788732394366197,0.0,0.0,0.0,-1,hamilton_07,False,0.1
1,2,0.19231103231425176,0.19231103231425176,0.010760400088979579,0.8257984682766664,0.5404066495685197,0.19231103231425176,0.4411764036481628,0.5342422159838106,0.2205882018240814,0.36212969155416785,1.0,0.9788732394366197,0.014084507042253521,0.2535211267605634,0.0,-1,hamilton_07,False,0.1
2,24,0.8505805643076972,0.04682094849400168,0.023085039691501538,27.708806085899223,0.42652003660086757,0.03698176366555205,7.294872542514485,0.26326910368854844,0.3039530226047702,0.36212969155416785,0.11267605633802817,0.9788732394366197,0.0,0.0,0.0,-1,hamilton_07,False,0.1
3,7,0.706953541058325,0.13022828387916513,0.022525198730006794,7.358871051519,0.36458256518504667,0.1178255901763875,2.410196264110727,0.3275225570929416,0.34431375201581815,0.36212969155416785,0.32863849765258213,0.9788732394366197,0.0,0.0,0.0,5,hamilton_07,False,0.1
0,24,0.5116199174072144,0.029659125646795036,0.020409340098117745,20.687526138197658,0.5008811084427058,0.02224434423509628,8.408648120424509,0.4064598185521417,0.3503603383510212,0.17847702363670598,0.9102564102564102,1.0,0.0,0.0,0.0,-1,hamilton_08,False,0.1
1,34,2.256844134420901,0.07211719978412655,0.020913820089742737,85.89295376961795,0.49073870450497487,0.06838921619457276,9.160253199307318,0.38409138598479753,0.35231743074258914,0.17847702363670598,0.0,1.0,0.0,0.0,0.0,-1,hamilton_08,False,0.1
2,2,0.896232031746352,0.896232031746352,0.01955943019977818,3.161624177477177,0.4459021907559076,0.896232031746352,1.3691601139844722,0.4330559349014707,0.6845800569922361,0.17847702363670598,0.20192307692307693,0.17307692307692307,0.0,0.00641025641025641,0.0,-1,hamilton_08,False,0.1
0,26,1.094777211463471,0.0545291331380273,0.02698181640787753,35.91118882662444,0.30191224839733033,0.043791088458538845,7.4469813285741955,0.20737217485412313,0.2864223587913152,0.30029283298104953,0.0546875,1.0,0.0,0.0,0.0,-1,hamilton_19,False,0.1
1,28,2.5472732330706163,0.10017366646906918,0.026981816407877526,78.77063185455147,0.3019122483973303,0.0943434530766895,7.446981328574195,0.2073721748541231,0.28642235879131517,0.30029283298104953,0.0,1.0,0.0,0.0,0.0,3,hamilton_19,False,0.1
0,14,0.6601523858590427,0.05311570920704941,0.011754552696925269,11.651816704896277,0.335057425590202,0.0507809527583879,2.409683302869681,0.20680751885301235,0.17212023591926293,0.3792820169751039,0.15172413793103448,1.0,0.0,0.0,0.0,-1,hamilton_20,False,0.1
1,20,0.349629268019623,0.02144964834476215,0.012082513192985138,10.085708737796658,0.4586421262732163,0.018401540422085423,3.093123377404199,0.3066837896887282,0.15465616887020994,0.3792820169751039,0.19310344827586207,1.0,0.09195402298850575,0.0,0.0,-1,hamilton_20,False,0.1
2,15,0.20690599445966956,0.018924328761555143,0.011720215424980569,6.045363988565165,0.6072036800238939,0.014778999604262112,2.9417740716701246,0.48661653413003825,0.19611827144467497,0.3792820169751039,0.696551724137931,1.0,0.16551724137931034,0.16551724137931034,0.0,-1,hamilton_20,False,0.1
3,2,0.7207813366698981,0.7207813366698981,0.01737616988803581,2.6578945655023025,0.5014097420774376,0.7207813366698981,1.2163318921625068,0.4576298503144869,0.6081659460812534,0.3792820169751039,0.15172413793103448,0.27586206896551724,0.09195402298850575,0.16551724137931034,0.9862068965517241,-1,hamilton_20,False,0.1
0,13,1.2614917935506729,0.10512431612922274,0.0628897199584464,22.625475592044943,0.93925751979831,0.10512431612922274,6.226082275886193,0.6640773473171946,0.6226082275886193,0.026187384116204283,0.0,0.9397590361445783,1.0,1.0,0.13012048192771083,-1,hamilton_25,False,0.1
1,1,0.0,,0.007096279497748921,0.035481397488744605,1.0011099892686948,,0.035481397488744605,1.0,0.035481397488744605,0.026187384116204283,1.0,0.0,1.0,1.0,0.0,-1,hamilton_25,False,0.1
2,1,0.0,,0.013598708479354973,0.09519095935548481,1.0029834980602168,,0.09519095935548481,1.0,0.09519095935548481,0.026187384116204283,1.0,0.0,1.0,1.0,0.0,-1,hamilton_25,False,0.1
3,1,0.0,,0.028817463786110716,0.3458095654333286,1.0109242564749175,,0.3458095654333286,1.0,0.3458095654333286,0.026187384116204283,1.0,0.0,1.0,1.0,0.0,-1,hamilton_25,False,0.1
4,6,0.46754366179011225,0.09350873235802244,0.06933544887629939,8.69877512522612,0.9304268747742627,0.09350873235802244,5.893513154485445,0.6775106919817342,0.9822521924142409,0.026187384116204283,1.0,0.9397590361445783,1.0,1.0,0.8192771084337349,-1,hamilton_25,False,0.1
5,1,0.0,,0.02002807585048188,0.20028075850481877,1.006297991960592,,0.20028075850481877,1.0,0.20028075850481877,0.026187384116204283,1.0,0.0,1.0,1.0,0.0,-1,hamilton_25,False,0.1
0,8,0.1619779117922116,0.0281700716160368,0.01845552443224452,2.6246210534592986,0.7277144050563228,0.02313970168460166,1.3287977591216054,0.5062817572731978,0.16609971989020067,0.2055715420849601,0.8270042194092826,0.7974683544303798,0.6329113924050633,0.7721518987341772,0.35443037974683544,-1,hamilton_26,False,0.1
1,5,0.20610062626031475,0.057250173961198546,0.022147172218122214,2.248597603298296,0.7327286241053553,0.05152515656507869,1.2180944719967222,0.5417129637646115,0.24361889439934442,0.2055715420849601,0.8270042194092826,0.7848101265822784,0.6329113924050633,0.7721518987341772,0.759493670886076,-1,hamilton_26,False,0.1
